label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,absacf3_sp500,r_acf3_sp500,min_sp500_abs,end_sp500_abs,ann_return_approx,window
Q6_mkt_anchor008_seed1_w00,1260,0.00017203935836617362,0.008833720880898545,0.23903801033743105,26.235925516966134,0.33781617823831467,0.1029382424826406,0.18647832559013003,-0.022217729549715674,0.0006587301587301521,0.04094472904395313,-0.641483925271424,6.259472172368586,0.2695384441456247,0.028139830223500455,0.15482039917995513,-0.05815597638929758,6458.897271831577,8870.178683167678,0.04414553042756264,0
Q6_mkt_anchor008_seed1_w01,1260,0.0003020250342073961,0.008771926470624185,0.9485282092623013,12.689921624589596,0.22471800178400259,0.20308163276488933,0.1286294568402546,-0.01707889326398309,0.0021507936507936475,0.039306198763997505,-0.1824998112220489,7.554504737198237,0.27872056427365377,-0.011889254868004562,0.21783627583906576,-0.05337712221789292,8627.717674982398,12366.453273434967,0.06817420088946546,1
Q6_mkt_anchor008_seed1_w02,1260,0.00020715003496632792,0.011395677491276235,0.2491530193708973,12.753227147061107,0.329857557343528,0.2984502819928107,0.2456147642074492,-0.03216429240930145,0.004428571428571424,0.09988043872959469,-0.3379658470577198,11.01822800817144,0.42801328657284243,0.03737542453834511,0.38746720882293273,-0.10749642247805732,11778.963175686884,14794.83098861914,0.038496196238135605,2
Q6_mkt_anchor008_seed1_w03,1260,-3.870880902959182e-05,0.024344672311760372,-0.219867983214759,10.243334053012555,0.5798061673880983,0.4745039475871852,0.5311108828001913,-0.05131047063546853,-0.004468253968253963,0.10807531078703067,-0.14334624573407242,5.604885002406277,0.11379552596839018,-0.012881620899478584,0.5743072841493709,0.031167710956381295,7624.907542335253,9675.638267860586,-0.07920052327198479,3
Q6_mkt_anchor008_seed1_w04,1260,-0.0022330045850674014,0.024078920299929387,0.273692940428361,6.782411400748108,0.3860453325027711,0.28109505369539356,0.3347114315073294,-0.034728166332063035,8.73015873015879e-05,0.0680002940984851,-0.9815680951209959,16.264628933165792,0.05151924495698748,0.0033640303541462337,0.357734691804013,0.0019951234294010092,398.89910178969467,401.2688908879415,-0.47079790184569636,4
Q6_mkt_anchor008_seed1_w05,1260,-0.01537376002395629,0.030648947822085416,-0.2602914084947718,3.475186227626711,0.31089477460460074,0.1894267086702641,0.30287949488936494,-0.09726840083193239,-0.0004206349206349212,0.06098970159940262,0.570588708827548,6.318985875848964,-0.011664719739844478,0.028759080144320732,0.18885118392386915,0.10262854145406226,7.210354482844523e-07,7.21801487824188e-07,-0.9820433913734203,5
Q6_mkt_anchor008_seed1_w06,1260,-0.01583724502817772,0.03134043136193804,-0.16869056772694396,3.369764254374821,0.23514212773708454,0.11292412642387213,0.22019031562532104,-0.06624656713509036,-0.0012460317460317469,0.05730275852911976,0.1547791268161602,4.2880568686100355,0.10763827902139193,-0.003301672272940483,0.1360498638066343,0.0852276218951072,6.979252906495141e-16,6.979252906495141e-16,-0.9841692001177945,6
Q6_mkt_anchor008_seed1_w07,1260,-0.012334868358448148,0.031653154746125754,-0.09301399982120975,3.21305287071395,0.29798677065937873,0.16494268886507518,0.3318223762536333,-0.051516683118605064,-0.0003650793650793628,0.05690030311725034,0.3286907978730894,4.383716433133995,0.02183093908886142,-0.023016496649867293,0.18927555106188507,0.13872656762558147,5.742307449257258e-23,5.888591346257954e-23,-0.9910049768939814,7
Q6_mkt_anchor008_seed1_w08,1260,-0.012001017173973932,0.03193647224762743,-0.16586198061799656,3.3971950739670262,0.2620942600072122,0.1643749648936243,0.25219278399655987,-0.07241714116909216,-0.0023888888888888887,0.07267185130283459,-0.25782776487295117,5.326579118409629,0.14463964131155083,-0.019676791358687228,0.18491042504730545,0.11674906701256833,7.413747959141703e-30,7.512443451634576e-30,-0.9996240273589021,8
Q6_mkt_anchor008_seed1_w09,1260,-0.010357947161768579,0.031788875082561764,-0.07426950125446123,3.2463267410907224,0.20403464152170928,0.15508550500733626,0.21888445805887422,-0.05185006125366992,0.0004206349206349215,0.0463327943056352,0.2530200063759547,3.74775516127596,0.06480002201991063,0.03242135845194958,0.20069948593660097,0.0768250374822055,7.85250798940758e-36,7.85250798940758e-36,-0.9999760667499981,9
Q6_mkt_anchor008_seed1_w10,1260,-0.008931127659577345,0.032488462664347476,-0.08273504723883693,2.9927618092583055,0.18987028287876465,0.1552154022203448,0.20928292108945962,-0.04885157666581367,0.00019841269841269904,0.04436009214663839,0.021612474271070086,6.588459856210723,0.23915714565547358,0.013081137628370421,0.06172107594067788,0.005125058481028024,4.906967731356022e-41,4.906967731356022e-41,-0.9999978214745371,10
Q6_mkt_anchor008_seed2_w00,1260,0.000265485557830534,0.009640472529913647,-1.3386345494550753,21.990267534673073,0.36562949168742565,0.2195131859924002,0.3853197748070392,-0.048883585321066896,0.0006587301587301521,0.04094472904395313,-0.641483925271424,6.259472172368586,0.2695384441456247,0.020105118670758933,0.2575484304580452,-0.10400649071264897,5931.565019244584,9879.361113320818,0.06744744539290193,0
Q6_mkt_anchor008_seed2_w01,1260,0.0002681108808564392,0.01035703727035726,0.9634997430456798,11.173550344654577,0.25520865464270975,0.19094672088924025,0.16781181187786745,-0.03780166670278612,0.0021507936507936475,0.039306198763997505,-0.1824998112220489,7.554504737198237,0.27872056427365377,-0.017565333308600297,0.2271152203988609,-0.03882274998046795,9542.009498041323,12949.915116967273,0.045277709035330016,1
Q6_mkt_anchor008_seed2_w02,1260,0.0003892660792940111,0.02001960883381148,0.44880349009598747,10.817781854363933,0.4440429790039299,0.3536967400914185,0.2777339202384727,-0.03113085773299127,0.004428571428571424,0.09988043872959469,-0.3379658470577198,11.01822800817144,0.42801328657284243,-0.01401112572934177,0.42916332613181823,-0.14264515742944697,12480.172504017904,16446.90538437464,0.047222683577575086,2
Q6_mkt_anchor008_seed2_w03,1260,-0.0012172711223164307,0.04239568836852368,-0.05339404049069904,4.945948413682231,0.6837008872760427,0.5359337932094074,0.6952327154131821,-0.09951757006544937,-0.004468253968253963,0.10807531078703067,-0.14334624573407242,5.604885002406277,0.11379552596839018,0.020772280606115013,0.5936337401971646,0.06384830968352656,632.5191432098768,1131.4124943626628,-0.4170015565906129,3
