firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.012325447163285007,17
1,6,0.01533041579010797,14
2,0,0.021610908619609185,22
3,3,0.01423173805071591,23
4,5,0.012999843715243526,18
5,0,0.013591716705602188,9
6,5,0.013740763880845401,22
7,6,0.008391192546536476,8
8,4,0.010733293644098188,17
9,1,0.005139743649744126,10
10,5,0.013733794090513608,9
11,2,0.04428619394023129,6
12,5,0.026682088038201456,9
13,5,0.011489174442493998,11
14,0,0.008686879460318013,5
15,0,0.004967826450129594,11
16,0,0.00656327464326537,7
17,0,0.020953331974862415,8
18,2,0.003860832930256194,6
19,0,0.00710406189132499,3
20,7,0.02332959644986837,3
21,7,0.007188984124369063,5
22,1,0.0067153743881653225,5
23,2,0.0023363964990838182,3
24,5,0.029708177939364394,6
25,5,0.004773152251870689,4
26,4,0.006120100346536368,3
27,7,0.012952043409126196,3
28,5,0.003822966219162342,7
29,5,0.005578401995062999,4
30,4,0.0043374215663039475,4
31,4,0.0034483585873400957,4
32,2,0.013948360180662403,6
33,4,0.005435673682685656,5
34,7,0.007786433948583476,7
35,3,0.006819002152384887,3
36,1,0.0069567429891317905,5
37,4,0.006417504538942936,3
38,6,0.007489294961599323,7
39,7,0.004859199109676886,3
40,4,0.013558453367475775,4
41,6,0.032325698521011956,5
42,2,0.005295554133625257,3
43,3,0.005381462785796898,5
44,3,0.05647290367827822,3
45,2,0.012386679089365693,5
46,5,0.023175192310347526,4
47,7,0.002699087714159071,3
48,2,0.017962145015808586,4
49,1,0.006514523451540686,5
50,6,0.0026691897925347863,3
51,6,0.11768884932826623,7
52,7,0.003146702166453731,3
53,2,0.04791653651379052,3
54,5,0.004641278768361686,3
55,5,0.0027245742901432363,3
56,6,0.0036977457563441584,4
57,6,0.010336150524337827,3
58,7,0.004372171770841428,3
59,3,0.005244833680353517,4
60,0,0.002145793658503243,3
61,1,0.008518896841501459,3
62,7,0.003961002222066223,3
63,6,0.004325290585281836,5
64,0,0.005040275133978641,4
65,2,0.005041685025535176,3
66,1,0.0023935964868348086,3
67,2,0.006771312372219317,3
68,5,0.0051967133015982546,5
69,4,0.003937391029151096,3
70,3,0.005315782239649735,3
71,3,0.004884345048544212,3
72,5,0.004067298692260022,4
73,5,0.057613008565432146,3
74,0,0.0040397412068597024,3
75,1,0.009474237983680283,3
76,2,0.010495074152606112,3
77,3,0.003952937299912379,3
78,7,0.008067951061801497,3
79,7,0.020102227466441032,3
