label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,min_sp500_abs,end_sp500_abs,ann_return_approx,window
R06_short_memory_lev_seed1_w00,1260,0.0001916589532652685,0.005796437961452801,0.72310599504137,30.72963503134873,0.0925495886321809,-0.023930810074366766,0.026129176106113438,-0.01301955575205894,0.0006587301587301521,0.04094472904395313,-0.641483925271424,6.259472172368586,0.2695384441456247,0.003748615695688946,0.04716932610438837,0.0925495886321809,0.026129176106113438,-0.10583200443116265,0.03768302988787498,-0.0036149205477097293,-0.05238781003645724,0.0024358052714564984,-0.009311444045302755,0.005395936946326058,-0.023930810074366766,-0.009899689747235383,-0.0067782170259430745,0.0070717938241802265,-0.0008296851453786029,-0.00785188436445637,-0.036717930740824425,-0.009721284139607864,0.003985011859798741,-0.0028006258558966757,0.00033941252084034566,6929.401786298313,9350.453922776713,0.05087354283615175,0
R06_short_memory_lev_seed1_w01,1260,0.000332995089503663,0.005561574339325054,1.5161204773812291,22.70441915166606,0.07009526449008877,-0.02880990127194634,0.02147933262411726,0.002866387530429647,0.0021507936507936475,0.039306198763997505,-0.1824998112220489,7.554504737198237,0.27872056427365377,0.010369285874835795,0.046019652819678396,0.07009526449008877,0.02147933262411726,-0.06526102149792545,0.01643542244279524,-0.008119763581370463,-0.020696140405614055,0.008865397786731214,0.0034203299408042086,-0.018699620893619307,-0.02880990127194634,-0.012081165647275967,0.027618930595992446,0.028345560186607954,0.0132283761596828,0.021311571745937976,0.023072637631395717,0.0040603432397171915,0.05882892338039247,-0.015293197427273234,-0.0003976163103876033,9214.929749830004,13951.0956326794,0.08214932575033806,1
R06_short_memory_lev_seed1_w02,1260,0.0002356087673332594,0.0050506459245626256,-0.1971007391099826,5.197167945530105,-0.0005797766088489794,-0.023752746248917208,-0.011248252895281283,-0.015308949830394398,0.004428571428571424,0.09988043872959469,-0.3379658470577198,11.01822800817144,0.42801328657284243,-0.015207527185524547,0.03763309743280635,-0.0005797766088489794,-0.011248252895281283,-0.08209184268849622,0.07906133211413897,0.1949512569976124,-0.011494932191338842,0.05819208658005371,0.09833629872730376,0.006367949794996419,-0.023752746248917208,0.00604081243481907,-0.02927717852757208,-0.018801277395316424,-0.018300631389662998,-0.03227503986784085,-0.05705792132381878,-0.04310431626211355,0.01815442391703505,-0.010310337107192018,-0.012998961462222599,13485.303268017758,18473.093656183853,0.05770265041579781,2
R06_short_memory_lev_seed1_w03,1260,0.0002448155594244045,0.005877655987476834,-1.4683319884571315,21.296924730525,0.1066380512065509,0.007684650736920403,0.07188256910260712,-0.0017036048993978713,-0.004468253968253963,0.10807531078703067,-0.14334624573407242,5.604885002406277,0.11379552596839018,-0.011408160571059183,0.10004567783354369,0.1066380512065509,0.07188256910260712,-0.13975866701130088,0.08956674697336794,0.04137137523730948,-0.06893083118846027,0.039398013043817806,0.020351738202890813,0.016700856762936214,0.007684650736920403,0.021704352321288912,0.00648950350076179,-0.01444938971472453,-0.012415856982419109,-0.00883007323324162,-0.017286888745643245,-0.010496722216876472,0.03106235388886163,-0.0068585897557110935,-0.0035596203323493745,18351.465829811477,24602.739967616006,0.06038247964881105,3
R06_short_memory_lev_seed1_w04,1260,0.000372403492194338,0.006698374266380223,0.9889127136232287,44.841711349044374,0.07136315104806969,-0.03310125427779583,0.023382325274404918,0.0013338359237246415,8.73015873015879e-05,0.0680002940984851,-0.9815680951209959,16.264628933165792,0.05151924495698748,-0.013868090428828484,0.020449278139674974,0.07136315104806969,0.023382325274404918,-0.06780535740963509,0.013853875406134614,0.001872864842615799,-0.038072557186084106,0.022710147758274037,-0.0016978112861637585,0.007122609893143338,-0.03310125427779583,-0.00903965659035807,0.035235339195592665,0.02782066262204384,0.0025386760600908972,-0.028854762647222237,-0.03533937748431992,-0.009038417224989397,-0.023367811082167622,-0.016399017921179884,-0.008169381080650842,24179.317535717193,38238.75478171417,0.09125763181853341,4
R06_short_memory_lev_seed1_w05,1260,0.00017169869398847887,0.0063648496723225185,0.23208157406043348,35.28492259570911,0.12299672095056827,0.003621553576460833,0.0760106665227869,-0.0019387756620942143,-0.0004206349206349212,0.06098970159940262,0.570588708827548,6.318985875848964,-0.011664719739844478,-0.011514983436348674,0.007781956008065341,0.12299672095056827,0.0760106665227869,-0.09483959925801183,0.027969754927360993,-0.0049823445047317005,-0.03297954813232384,0.046952747339288545,0.00216396800906075,-0.04001448311926993,0.003621553576460833,0.005505929924736865,0.006121928222525572,-0.028796154577351993,-0.008419387671448612,-0.022941071055397246,-0.003886456051353273,-0.005434172113491613,-0.011540489152597035,-0.0058531773753146875,-0.0019449950502229197,36699.18600933262,46277.91142486273,0.04002315555525171,5
R06_short_memory_lev_seed1_w06,1260,0.00030791884964855856,0.005328512683917813,-0.09187257149498088,3.469672223810091,0.0363517848649554,-0.006360149193945899,0.029209440899878706,-0.010007930106293948,-0.0012460317460317469,0.05730275852911976,0.1547791268161602,4.2880568686100355,0.10763827902139193,-0.030531474215059702,0.06110911969834746,0.0363517848649554,0.029209440899878706,-0.09026736264046276,0.07951484940025953,0.10273132301447849,-0.048695753868414966,0.02190885601918467,0.01700071209165444,-0.021385903605493417,-0.006360149193945899,-0.0013736718218861348,-0.004441209390589436,0.030201738723733676,0.017310272690181944,0.0032535998995410213,0.011151881091306291,0.00025190243119958307,-0.0013776839051379576,-0.06484679766342505,-0.05415160554368204,45173.85530615133,67000.45955564451,0.0773173779585723,6
R06_short_memory_lev_seed1_w07,1260,0.00022562395612430198,0.0058090936418391135,-0.762820012312146,8.58935024692183,0.10909280140311017,0.0049950890164722995,0.10122318405672644,-0.01000336916589563,-0.0003650793650793628,0.05690030311725034,0.3286907978730894,4.383716433133995,0.02183093908886142,-0.05090123071047225,0.06539579920820743,0.10909280140311017,0.10122318405672644,-0.1380987067749034,0.11125319241030766,0.06696661699560504,-0.030176389544038056,0.08383560350234749,0.04565029129168606,-0.04538765711617365,0.0049950890164722995,-0.007811052298085719,-0.028958079550484683,0.035550427793367506,0.049527805151305906,-0.009546403757090625,-0.011673442290777979,-0.013851379907887767,-0.031787862422808934,-0.01899301856591665,-0.01672064294198599,63882.13584723292,87150.5908910667,0.05148611276471482,7
R06_short_memory_lev_seed1_w08,1260,0.0003281332907338058,0.006633178928887524,0.9045286315927429,33.53621062101106,0.12333684429588944,0.027665965534139345,0.08613730127440984,-0.007417781774238937,-0.0023888888888888887,0.07267185130283459,-0.25782776487295117,5.326579118409629,0.14463964131155083,0.04266834314674587,0.06246315445210076,0.12333684429588944,0.08613730127440984,-0.09875326806880169,0.06382569272227723,0.012734065523806664,-0.055270000868386106,0.0322061931141433,0.009507138440599352,0.04204884847831001,0.027665965534139345,0.008766106824894227,0.012207989548064574,0.0029025108160535776,-0.005476590078707099,-0.031229749668886024,0.017928632147224836,0.005510710308055659,-0.022083922856388848,0.015648717011539356,-0.0016899499374483026,86369.58730446536,128176.34378970305,0.08180316941163435,8
R06_short_memory_lev_seed1_w09,1260,0.00022353120620541704,0.0069351888650330505,0.5116027133252065,28.801761035070356,0.16602784827977285,-0.007129502841817197,0.05848079388578464,-0.008453531011803031,0.0004206349206349215,0.0463327943056352,0.2530200063759547,3.74775516127596,0.06480002201991063,-0.003228865877392926,-0.019549600877275853,0.16602784827977285,0.05848079388578464,-0.09500302381292401,0.029846353122406976,-0.004424025402415721,0.012371862158150218,0.052357177222965026,0.004536143887548431,-0.041232094558823935,-0.007129502841817197,0.0003751219018835701,-0.004421703705926011,-0.0026311921443316483,-0.007657056180350966,0.005993444722080624,-0.01371762578793911,-0.006665337360197121,0.005005312221298316,-0.05749768557611855,-0.016896548915246386,125579.93443027802,164809.13262223167,0.05164656721937422,9
