day,firm_id,sector,latent_state,observation,price,return,market_weight,buy_value,sell_value,imbalance,firm_uncertainty,firm_common_eta,obs_var_factor
0,0,2,0.043964754352510835,0.02365968787466,7283.1057906472715,0.0018338192017708496,0.014730744834932412,0.42583109388735435,33.13483622502455,-0.9746232045788492,0.0,0.005540631899794071,1.0
0,1,6,-0.01495718334843932,-0.07084231587521575,6543.426166385483,-0.01929225703739835,0.008290065452206733,0.49510211092804945,106.08039646494414,-0.9907088942948564,0.0,0.002475871073232948,1.0
0,2,0,-0.01668582621401579,0.07990431827148732,7072.79558475624,-0.011649635541552534,0.00587910524718773,0.8770469699745571,36.073956859563715,-0.9525291938212668,0.0,0.003335153871458318,1.0
0,3,3,-0.015191620310846175,-0.05564066188142543,7747.749643510352,-0.015684874803756493,0.0036494316762434886,0.8934403801283826,59.59872015889434,-0.9704609531994723,0.0,0.0046501323334548865,1.0
0,4,5,0.04859580952598354,0.10314451972482466,7727.155129696273,0.012644283504795031,0.0034915626654210886,1.1029976445366168,25.533929962549813,-0.91718281768339,0.0,0.00404552609314946,1.0
0,5,0,-0.002259760846800938,-0.018939908257576635,7304.622492615592,0.0013378110266912858,0.00484795644737477,0.49506805415922833,40.06218218899812,-0.9755867051302106,0.0,0.0012599681146826464,1.0
0,6,5,0.03864618968575298,0.024625734793882626,6819.425457583421,0.0027378325429845063,0.0026904255721436087,0.38913958468561033,33.402077241539196,-0.9769680040126826,0.0,0.007435728824502426,1.0
0,7,6,0.053833062298833854,0.03472445543122002,7370.084001603121,0.002331477767342989,0.004607005211066675,0.4668528492508057,30.73470412832079,-0.9700750286229993,0.0,0.0009355565230826125,1.0
0,8,4,-0.00515066946039729,0.01591185745115341,7360.193015365893,0.010726383391264211,0.008730020349936043,0.37057453535294144,46.83989546168653,-0.9843011715041883,0.0,0.006090196138181882,1.0
0,9,1,0.004668146688220281,0.042122129918316875,8082.8290350366115,-0.007503848265503691,0.005390617292890501,0.5030081248781298,51.85180033138825,-0.980784644612397,0.0,-0.008712542753750094,1.0
0,10,5,-0.006472137671537711,-0.04427171457713446,8066.185161355555,-0.006892561195873326,0.003972453288716269,0.4544475510297801,70.50336200383654,-0.9871910490367666,0.0,0.0060252146707313525,1.0
0,11,2,-0.01207194717540179,-0.058907148304037885,6660.545576777152,-0.0041379224668334005,0.0031693419260457696,0.6892909348418127,69.52549370323374,-0.9803662166341472,0.0,0.012291728914366301,1.0
0,12,5,0.034435835985942215,-0.00010314581618032365,6905.723800756939,-0.01646840092894901,0.01590214316109787,0.7393858104140115,45.4131678900395,-0.9679590509466988,0.0,0.008254735952123749,1.0
0,13,5,-0.046993666797982926,-0.12138085758771996,6831.464672615609,0.015675164517222298,0.021825415364904645,0.8031243881960224,102.1524596500604,-0.9843986240048952,0.0,0.006665699116879211,1.0
0,14,0,-0.023560687406571697,0.009404614223734616,7143.4641390451625,-0.002262251075696456,0.00205307828178358,0.4083077476844237,25.31359976625483,-0.9682521408688465,0.0,-0.0019041936044016483,1.0
0,15,0,0.032814683551019234,0.09231579861739425,7538.935728069634,-0.0038456048635872363,0.012751023005317228,0.9164045250974107,78.51203806279707,-0.9769250284727216,0.0,1.7521110440373776e-05,1.0
0,16,0,-0.025316745967632098,-0.08237944288935892,7159.919023567905,-0.014489364609619054,0.032740620828047046,0.7711947729865355,104.48508959453827,-0.9853463424419122,0.0,-0.0016840089343877907,1.0
0,17,0,0.04230434794502959,0.049951540937817666,7228.8648325630875,-0.007238922829970185,0.0046139029737793545,0.8566874028347908,21.796937273674057,-0.9243664168069904,0.0,-0.002301582172834289,1.0
0,18,2,-0.02645838706369159,-0.07670110054711443,8464.039498554077,-0.005705989609315232,0.004636913204822222,0.7070892170354188,135.3959426327156,-0.9896095008623937,0.0,0.011381901415672212,1.0
0,19,0,-0.006399540239320583,0.04792985036237164,8556.570276783264,-0.01452042328503765,0.00565496984481314,0.569427044050838,39.82873847785898,-0.9718092622682128,0.0,-0.002746203215096558,1.0
0,20,7,0.0122592216716132,0.02573978843498488,6446.148399145191,-0.01535210527403311,0.00829295273840298,0.5513402267008972,31.44331038977422,-0.9655354744271055,0.0,0.004280006445309203,1.0
0,21,7,0.02609698699425816,0.03729510313184889,6646.567644537154,-0.017259600622601616,0.003957515056229048,0.7554138884755844,23.321230262751627,-0.9372492375432891,0.0,0.008531394186757822,1.0
0,22,1,-0.010461616314593301,0.030895803077711045,7704.2062032130525,0.008294954067489702,0.012616779359475201,0.591307325123738,41.660992457411524,-0.9720106442180384,0.0,-0.007425609768150142,1.0
0,23,2,-0.008513365961618901,0.03144875128508311,6873.826979134477,-0.013601491654177577,0.004675299532784981,0.4231504035500188,23.73251031226287,-0.9649647004889834,0.0,0.0072646557288493325,1.0
0,24,5,-0.01607220439594843,-0.1054706579928825,7399.345946132728,0.00011933424525779023,0.0025765208032525614,0.3574962034654579,116.47246135169047,-0.9938800593367737,0.0,0.009170305440912794,1.0
0,25,5,0.0015137512433528975,0.031181804289763148,6986.059316564576,-0.006941188849838923,0.04002257269566566,0.514250530988466,30.45960714354042,-0.966794544168468,0.0,0.005488461870126987,1.0
0,26,4,0.03157250050598826,0.07188830790226608,7849.161538572742,-0.00457674720407806,0.040849271694009176,0.6009883831122679,53.07686925702072,-0.9776075868142796,0.0,0.005816446432380199,1.0
0,27,7,0.020090430903474604,-0.07310175150313009,8966.916927601404,-0.005191895243281536,0.008826718664058267,0.6818155170014423,120.83042729301206,-0.9887778300897324,0.0,0.005154098267353023,1.0
0,28,5,-0.02032894981636022,-0.020217736372702313,6495.791024878481,0.008454292749574266,0.01752621768066879,0.7017485483271849,55.913953415269816,-0.9752101086986078,0.0,0.006416688230842775,1.0
0,29,5,0.021558532390677725,0.11805590433843835,7311.877970468404,-0.008102589301881924,0.008994448711232126,1.404551678557371,27.01086508864385,-0.9011415746237331,0.0,0.009462935072421822,1.0
0,30,4,-0.031942296491182735,0.010967613428167499,8969.037983056918,-0.005013787094412527,0.010464143416486625,0.466339883663003,41.09994190866129,-0.9775616262006914,0.0,0.003469535984513322,1.0
0,31,4,0.018704807581765327,-0.0002561531677597699,7447.715925969629,0.007070135353513214,0.005381375433577119,0.6588098119914618,25.697096276555875,-0.9500066656594484,0.0,0.003151449129084405,1.0
0,32,2,-0.001672331247778924,-0.010936966697129217,7204.4329538383345,-0.005787681117283572,0.003915351820361475,0.5701808826180758,41.4596436409118,-0.9728677961629224,0.0,0.002409093591765064,1.0
0,33,4,0.041830986956288625,0.15199701927447162,6527.337945655591,-0.01796360637556841,0.0022219224690904994,1.3354235791801732,33.820094677541825,-0.9240276550673895,0.0,0.008077226347220832,1.0
0,34,7,0.0023794458399245344,0.08817419891221924,6885.922351075555,9.523981178430861e-05,0.020499664990653855,0.9861795917795303,21.32422578535727,-0.9115946505171131,0.0,0.0077241684349614445,1.0
0,35,3,-0.01929578061781909,-0.05341168187493529,5887.503886657093,-0.007685369253812942,0.003151963294741097,0.576636305501012,72.9727878673665,-0.9843197601482815,0.0,0.0013345872333117446,1.0
0,36,1,0.020583951002042015,-0.028329139434299586,7503.108293222457,0.011049552576764916,0.005304677543167817,0.7801784604237566,72.4290915152984,-0.9786863477488076,0.0,-0.006269121283707928,1.0
0,37,4,0.016751597598666856,0.03917362194094057,8629.547425113735,-0.004264898633427658,0.017457385591803945,0.594710345399147,36.0350336289349,-0.9675285556841665,0.0,0.006526853707366528,1.0
0,38,6,-0.05355848175183638,-0.04268421859034082,7057.58980562323,-0.00048405420023836087,0.02905460405201735,0.7858928577556696,86.36851234084307,-0.9819655046361492,0.0,0.0017267523461996768,1.0
0,39,7,-0.004473843261764304,-0.0758377922553623,5671.316389063493,0.0020327511644625965,0.03011489023654299,0.5303308441082554,83.86470382933145,-0.9874321789983488,0.0,0.0066134046559938806,1.0
0,40,4,0.008766932903988608,0.04875936748401605,6895.561738914902,-0.003307173370546545,0.018503306651611023,0.6118918277463234,22.909424743777173,-0.9479712943482843,0.0,0.005124678047711567,1.0
0,41,6,0.010869945722794826,0.05128324071879724,8858.51259810428,-0.019606309844639548,0.0572517978362493,0.46236429590864186,45.72915189619752,-0.9799805533779968,0.0,0.008134252724936357,1.0
