label,path,std,kurt,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,lev_dec1_1d,lev_dec10_1d,lev_dec1_3d,lev_dec10_3d,lev_dec1_5d,lev_dec10_5d,lev_dec1_7d,lev_dec10_7d,lev_dec1_10d,lev_dec10_10d,lev_dec1_20d,lev_dec10_20d,issue_score,abs_acf_maxerr,sq_acf_maxerr,dec10_maxerr
R12_tiny_rebal_active_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round4/R12_tiny_rebal_active/seed_2/generated_paths.csv,0.009840789888208395,8.609030049526602,0.035851129480350685,0.271524180757313,0.1740161509708444,-0.014316680545429724,0.25577148272419375,0.15678569215807955,-0.007931409069374932,0.22854054721682523,0.13689216635318474,-0.006580422966141985,0.19643716519662865,0.10414600832239992,-0.004135488167171883,0.17387308234620916,0.084871529510195,0.008529409922850475,0.1680468172367272,0.0814004013915823,-0.010412038741567427,0.17737310211011495,0.08518505355543382,0.009339996756325936,-0.2427999264047453,-0.0014307917998668475,-0.29420762490839925,-0.005467328998689124,-0.27077040858313456,0.00667744818333178,-0.23392800033565989,0.012735207937051995,-0.18898063998963047,0.01752052814820862,-0.10454545508481651,0.41641268710102397,0.09255701826118093,0.12386966517706394,0.09541411492647783
R13_tiny_rebal_lev_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round4/R13_tiny_rebal_lev/seed_2/generated_paths.csv,0.009756065722010045,8.881896940692696,0.11611817935003926,0.2685777440287363,0.18224823430141393,0.0009024150974617004,0.24091120742750147,0.1499517864024972,-0.0094973320560058,0.2204579637652294,0.1351259556600708,-0.017644672116898474,0.19630521714992966,0.10554243897140471,-0.004786325720105109,0.14900237336347102,0.0744366695419418,0.0020775449349539846,0.12720402517572943,0.05272740984053693,-0.006550144600462972,0.14771180589052335,0.06663012159193153,-0.026472499005337102,-0.28679808099343795,-0.03043414200738224,-0.35112644440414587,-0.03649095373568278,-0.3444854820835283,-0.03368823220256918,-0.31810782189662146,-0.010422106423053988,-0.28112814504525174,0.015692474265857074,-0.17810354209814874,0.46574045523820484,0.09437180232831222,0.12299384676323713,0.14851297014414824
R10_rebalance010_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round3/R10_rebalance010/seed_2/generated_paths.csv,0.005969367747584066,22.182591480520976,-0.014487513637322076,0.0864463606357834,0.020000721755035547,-0.03734002578900757,0.06406004885717631,0.014046323835099907,-0.026214438568703924,0.030291994554889703,0.004396528514249601,-0.009982596041381046,0.022231806869150474,-0.003379563427299318,0.008072460359032323,0.01921104707658005,0.0026034624153494844,0.011612478580960801,0.035330096990965495,0.012435795435438901,0.019287240263901065,0.02004845075600918,0.00230907199914459,-0.04024121731085817,-0.16112865840249607,-0.03170330652753183,-0.25458647314293775,-0.025508325859282092,-0.2561640473301238,-0.03633798586490701,-0.23937927000939282,-0.03588476355541832,-0.21717611609733017,-0.025664662391583114,-0.16343300308921818,0.48449851002874944,0.2667623765886591,0.25889930933063443,0.059408777314351124
R11_rebal_activity_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round3/R11_rebal_activity/seed_1/generated_paths.csv,0.005458867639861347,44.480475480262186,-0.010485405926347054,0.09209444835720924,0.04329846097648884,-0.08642009103267546,0.038036297926137407,0.004382135860743579,-0.01701096271465429,0.01807016946468918,0.0011344775303293742,-0.010103679166296608,0.0021431975276232917,-0.0010474143152868621,0.0051746494743785485,-0.0008480987227625599,-0.0023325020067468433,-0.009414297219061105,0.002999840391151514,-0.0021970190934022457,0.010438223489471108,-0.00615764231590656,-0.002662092736996124,-0.025109737354257165,-0.14876936676124888,-0.02247440209342731,-0.18038275791197747,-0.023033967328258808,-0.1763298122458429,-0.034794992585621375,-0.16584870216007053,-0.012937950213083266,-0.1537579397559582,-0.01399036004453331,-0.09582579110297132,0.5145846958135327,0.2868509859301863,0.26856349730499074,0.06444732950936974
R02_mom005_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R02_mom005/seed_2/generated_paths.csv,0.012424508482150083,5.97752512052648,0.01323937269383387,0.3919292440083346,0.3228135278954239,-0.01563419256974982,0.3605681207083065,0.29886373148031525,-0.011500513233765802,0.3191010406863226,0.25048978686618684,-0.019474777693847905,0.28270869712992414,0.19555296809663933,-0.014852882347318982,0.2761702281311037,0.1965024743645002,-0.010459438175898375,0.2722326456468324,0.16248527680345212,-0.003748097473521927,0.26749981422203184,0.16941346852031136,0.008790017068953123,-0.2524917159190844,-0.001589020346284268,-0.32688897444983306,0.009526283283178942,-0.30512297917116227,-0.0014361084537328872,-0.24157541744884198,-0.007844615940388724,-0.17627671330104,-0.004630870887858723,-0.09253814083266654,0.5446235583099144,0.1667187457593482,0.13745262133407293,0.12427550018983544
R05_short_memory_vol_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R05_short_memory_vol/seed_1/generated_paths.csv,0.006095414491172619,30.03989974408448,-0.00688609398579065,0.0842978635431067,0.03610110378508134,-0.06493572054587242,0.03356892075793731,0.0020366978768231693,-0.019913895628747565,0.03364538513329106,0.00498153347273983,-0.006685967804652209,0.0041276200312386204,0.001914115023148921,-0.0027374636914805762,0.0045210504642603086,-0.0017744215043637255,-0.014097209708027766,-0.003166295307759773,-0.0032500886441116494,0.005460985377769106,-0.0032999624141709168,-0.0018824946884885099,-0.006705577736072107,-0.1295793094596115,-0.02378445598341651,-0.20044253851377844,-0.027642508969006812,-0.18898243957354022,-0.004392290079042449,-0.17217229144456161,0.008518691242645999,-0.15142671088629284,0.004333651225551492,-0.1025074525137307,0.5446859671374105,0.28486656342657096,0.2709089352889112,0.05776566809861036
R11_rebal_activity_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round3/R11_rebal_activity/seed_2/generated_paths.csv,0.006064379455338886,20.351225635968824,0.006568027995137673,0.09982268263807098,0.028834703848393324,-0.04243477138965236,0.07004668181034282,0.015902579924660355,-0.029840875134488885,0.036159293968542394,0.006474678329383095,-0.01490971860947185,0.02805012400486438,-0.0019296647287938209,0.008020629225576264,0.02067001127330138,0.002636975928233946,0.011676759369485248,0.036688218146499044,0.013058420362676898,0.021032093854127083,0.021495582512094488,0.0024655212115880774,-0.04255381031473548,-0.18450680590677115,-0.02153342021608742,-0.2895504198776014,-0.010625892388980252,-0.28383407304282277,-0.03931380040322613,-0.26195002914826265,-0.025388663479586803,-0.23877355569926392,-0.016020601332440414,-0.19551503067057785,0.551253027865913,0.2609440594529452,0.25704305324107396,0.08693694561760376
R13_tiny_rebal_lev_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round4/R13_tiny_rebal_lev/seed_1/generated_paths.csv,0.006478824319800833,34.1689613973206,0.07378757149349172,0.13374174863111546,0.085625939658585,-0.09410604036373128,0.04654080488973409,0.005054548632144884,-0.0421355468844337,0.036082685215808,0.01281479356575828,-0.011033296937504005,0.00020783391257933283,-0.0033078253752112743,-0.005275476223481553,0.020909579244795425,0.03205738930883518,-0.0023620975112633165,0.010167881581442965,-0.00021862337822968098,0.008717883051031713,0.0058239823810596085,0.0021485376928573707,-0.02973066020349057,-0.27068004802935736,-0.02448422073271563,-0.24984585657948816,-0.04621668012660575,-0.22408291737170943,-0.012118738246472098,-0.20082306135939262,-0.03791645139117503,-0.17421201408162845,-0.028679088521967183,-0.129165676855715,0.5581737263688605,0.28878634954523025,0.26789108453358945,0.1232942365510899
R01_no_mom_lowvol_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R01_no_mom_lowvol/seed_2/generated_paths.csv,0.012618417622921053,5.98604789237061,0.013777571621363251,0.418260899984417,0.3503389949390835,-0.01953657209856991,0.38521870908087663,0.31336062089341843,-0.012564217101748964,0.35061099301520415,0.2773382651177284,-0.02216953394344679,0.3039873962948229,0.21121640681063097,-0.010497509509290282,0.2997977879843898,0.21105385273539057,-0.015748866925361916,0.29537406897655905,0.18016937386516443,-0.007128371320666175,0.2825519525137657,0.17845745607494112,0.005799254315075134,-0.2404773414787479,0.00445453448060277,-0.30022732821884124,0.004461631152234144,-0.2785363013525014,0.005183113414887328,-0.21706221544490667,0.00882159388762495,-0.15754690692095794,-0.005487341509225181,-0.08532166993334481,0.5829053463242693,0.18177088405108205,0.1464966088887027,0.09761385395884362
R06_short_memory_lev_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R06_short_memory_lev/seed_1/generated_paths.csv,0.0061552501122043935,28.71085117312873,0.03528391915450818,0.10004391322848627,0.04755150014071728,-0.08973569898596295,0.04573527055477604,0.005417531836404152,-0.037862471278389265,0.04015645537858605,0.007255400947895714,-0.006891232418263126,0.005129958051456649,0.0014562903584901088,-0.0023302223660646654,0.007862328465825855,-0.00122179932478333,-0.012412111754143031,-0.003930284422525028,-0.003745909653967199,0.006106491683998674,-0.006926886157377035,-0.0016861972410135257,0.006048394502885043,-0.17126813412099814,-0.01744661058091308,-0.24337905893954845,-0.016957394881952165,-0.22816939311721016,-0.010022037321969846,-0.2035400265331124,0.0018552353951804966,-0.17233199444977695,0.021527891531688166,-0.12007561742574618,0.586752518248524,0.2838642254063529,0.2675281013293302,0.040765584679550826
