label,decile,n,vol_min,vol_max,r_mean,vol_mean,1d,3d,5d,7d
real,1,1488,0.0,0.0008368043854836,7.371711691264809e-06,0.000413879686511305,-0.03201960702693032,-0.0241143532565854,-0.03116521945605109,-0.03631554709679644
real,2,1488,0.0008368071783695,0.001722571459862,3.4138799861683544e-05,0.001279616408163108,-0.04019012669415239,-0.010796770202221025,0.002224930200866244,-0.006146606355639793
real,3,1489,0.0017226706034157,0.0026558659385422,0.00015984025628251522,0.002179427050269843,-0.006527088449398821,-0.04386487139204496,-0.04152084017116834,-0.04925060250724979
real,4,1488,0.0026576932573247,0.0037523245012929,0.00013589839864306885,0.0031876412505237608,-0.06573244435677005,-0.031491317106742,-0.04100144223789854,-0.028901031302396813
real,5,1489,0.0037525047561128,0.005001764473498,0.000483622881341476,0.004352980482475529,-0.07979485238097912,-0.10965668662860376,-0.1073444125439801,-0.10609577579425843
real,6,1488,0.0050028286164243,0.0064745097892824,0.0006233986595719411,0.005715076365151009,-0.063008634484246,-0.08828096863748969,-0.07237615262961888,-0.0637953619198655
real,7,1488,0.0064749573072333,0.0083593403716109,0.0006062990954153596,0.007380428114578346,-0.06244064772310953,-0.10001156047025274,-0.10910175988040707,-0.09493720763464766
real,8,1489,0.0083625026469622,0.0110167015736801,0.000871080819782073,0.009591465961806796,-0.08762116509126545,-0.1102555442068531,-0.12579668127854654,-0.13402682708485286
real,9,1488,0.0110173273819143,0.0155672835632704,0.0008161047090002975,0.013090801506499246,-0.08876206750087681,-0.12442092682757576,-0.13170205758449213,-0.14137659855799617
real,10,1489,0.015568083364903,0.2046693079969437,-0.0005559363615738286,0.02405362952897419,-0.14738581147826746,-0.20261347425999762,-0.2088684130706263,-0.1799704926950417
R03_seed2,1,1488,6.963964551687241e-07,0.0010897077154368,-2.8150217570336764e-05,0.0005406140550744548,0.008771401325261757,0.009058182354704526,0.0022392883783255747,0.013450146013604489
R03_seed2,2,1488,0.0010909944539889,0.0022674789652228,-2.1571957306581243e-05,0.0016582239083901443,-0.01059572790053583,-0.0018486487076843146,-0.0244314962248,-0.02207447520709785
R03_seed2,3,1488,0.0022697700187563,0.0035100472159683,-9.955354228925953e-05,0.0028747117725170406,-0.03334865724582317,-0.04397052185736768,-0.02675873868316847,-0.014396032972141183
R03_seed2,4,1488,0.0035104302223771,0.0048403311520814,-1.2715467125408187e-05,0.004158101301366083,0.00015350564516730284,-0.001471565509946896,0.002470367455857386,0.013298422698733093
R03_seed2,5,1489,0.0048404829576611,0.0063166329637169,0.00018112210192841965,0.005559966109487846,-0.02942854117735126,-0.0038922910590223543,-0.004519253221546177,-0.012041279881849802
R03_seed2,6,1488,0.0063169496133923,0.0081854686141014,0.000489568518367042,0.007206199120827752,-0.06090559299098544,-0.06189520695272749,-0.06698362296226847,-0.06407027397966257
R03_seed2,7,1488,0.0081874523311853,0.0105542885139584,0.00045942591931370254,0.009313031545995377,-0.07737955222127185,-0.09032610520259078,-0.08046579261357997,-0.06681447014110269
R03_seed2,8,1488,0.0105549721047282,0.0142763154581189,0.0005614245685959023,0.012277596861734859,-0.10861919190157927,-0.12510350152811286,-0.08823317909965529,-0.05888848373805593
R03_seed2,9,1488,0.0142827555537223,0.0205696374177932,0.00044025855529452234,0.016988018831808914,-0.1557342940988753,-0.15824510707629286,-0.13160835916777736,-0.10837237536773665
R03_seed2,10,1489,0.0205792877823114,0.0749486237764358,0.0013208081364091242,0.029289230743086554,-0.24250453758287457,-0.2990075116117649,-0.25516817561021854,-0.20653427101817096
U01_seed2,1,1488,1.550070010125637e-07,0.0011104424484074,-9.903804536690617e-06,0.0005621711502547692,0.05622137999293344,0.05233860125723955,0.06145593749963642,0.05497403406193056
U01_seed2,2,1488,0.0011107865720987,0.0023290095850825,-1.7084544402502493e-05,0.0017009835745181176,0.012462431833918795,-0.01169722696480546,-0.03218255698603317,-0.02475190982271654
U01_seed2,3,1488,0.0023294403217732,0.0035291004460304,-5.663281618942838e-05,0.0029182532407600764,-0.025201782225983547,0.006498524081459466,0.00575874055696731,0.007163903117890315
U01_seed2,4,1488,0.0035309586673974,0.0048496345989406,-4.300261974104246e-05,0.004163879407970286,-0.022577826276331616,-0.050639782998010294,-0.03898028001387767,-0.024624685298880993
U01_seed2,5,1489,0.0048498716205358,0.0063775083981454,8.446500555951559e-05,0.00561128148359984,0.04115839716351621,0.026806361366794085,0.01602976317808217,0.003968465579347864
U01_seed2,6,1488,0.0063777724280953,0.0083103999495506,0.0004471857410540112,0.007306524111466153,-0.07954433458220947,-0.10371847161813713,-0.08092509823604536,-0.0753911825506405
U01_seed2,7,1488,0.0083107985556125,0.0109206987544894,0.000704696037686396,0.009522210214517322,-0.10172912809640144,-0.07108189901969235,-0.04564136990066059,-0.02253509300389878
U01_seed2,8,1488,0.0109221767634153,0.0147606534883379,9.011593271767763e-05,0.01264548952996686,-0.12539409881639582,-0.12230494708343649,-0.10123202014340937,-0.07074056280456631
U01_seed2,9,1488,0.0147615605965256,0.0216682460159063,0.0009714415865219214,0.017809039791695406,-0.1476385218721775,-0.15677517283964276,-0.124754520821474,-0.09905180019853688
U01_seed2,10,1489,0.0216768607497215,0.1258954554796219,0.0011939698025894437,0.031201673246284586,-0.2496455553266807,-0.3017474260916491,-0.2678317690641916,-0.21879043640907417
