round,label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,abs_q095,abs_q099,abs_q0995,abs_q0999,abs_q10,abs_q999_q99_ratio,ann_return_approx,lev_dec1_1d,lev_dec2_1d,lev_dec3_1d,lev_dec4_1d,lev_dec5_1d,lev_dec6_1d,lev_dec7_1d,lev_dec8_1d,lev_dec9_1d,lev_dec10_1d,lev_dec1_3d,lev_dec2_3d,lev_dec3_3d,lev_dec4_3d,lev_dec5_3d,lev_dec6_3d,lev_dec7_3d,lev_dec8_3d,lev_dec9_3d,lev_dec10_3d,lev_dec1_5d,lev_dec2_5d,lev_dec3_5d,lev_dec4_5d,lev_dec5_5d,lev_dec6_5d,lev_dec7_5d,lev_dec8_5d,lev_dec9_5d,lev_dec10_5d,lev_dec1_7d,lev_dec2_7d,lev_dec3_7d,lev_dec4_7d,lev_dec5_7d,lev_dec6_7d,lev_dec7_7d,lev_dec8_7d,lev_dec9_7d,lev_dec10_7d,lev_dec1_10d,lev_dec2_10d,lev_dec3_10d,lev_dec4_10d,lev_dec5_10d,lev_dec6_10d,lev_dec7_10d,lev_dec8_10d,lev_dec9_10d,lev_dec10_10d,lev_dec1_20d,lev_dec2_20d,lev_dec3_20d,lev_dec4_20d,lev_dec5_20d,lev_dec6_20d,lev_dec7_20d,lev_dec8_20d,lev_dec9_20d,lev_dec10_20d,glob_lev_abs_lag1,glob_lev_sq_lag1,glob_lev_abs_lag2,glob_lev_sq_lag2,glob_lev_abs_lag3,glob_lev_sq_lag3,glob_lev_abs_lag5,glob_lev_sq_lag5,glob_lev_abs_lag7,glob_lev_sq_lag7,glob_lev_abs_lag10,glob_lev_sq_lag10,glob_lev_abs_lag20,glob_lev_sq_lag20,glob_lev_abs_lag40,glob_lev_sq_lag40,glob_lev_abs_lag60,glob_lev_sq_lag60,score
1,V00_R03_recheck_seed1,14882,0.0002644967629785,0.0055079034298559,0.5836286054677673,55.33715137908132,0.0577761682551731,0.001219091646508,0.0148445062795946,-0.0026967740688296,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0060597790481213,-0.0260355949857051,0.0577761682551731,0.0148445062795946,-0.0479013078555722,0.0163088392372398,-0.0002432058850098,-0.0099132297582125,0.0181603899991658,0.0005488851088192,-0.0052802363914104,0.001219091646508,0.000751793009581,-0.0036577201441838,-0.0028538874240016,-0.0033614476346296,-0.0140739221372872,-0.0061037094038762,-0.0042238282594806,0.0047251119312152,-0.0024573550449603,-0.0016810403849174,0.0086610055528581,0.0125110347103327,0.0152726371819153,0.0720240328982473,0.0763497352600097,5.756840626360287,0.0653515119227727,-0.0120157945790232,0.0250010371325978,0.0126172692832089,0.0105921855426814,-0.0400153107256463,0.007725214846509,-0.0565239837395585,-0.0769708180233914,-0.0726532175210096,-0.0431260346785652,-0.0313565121751724,0.0386861946564692,0.0112230964495517,-0.0174157330084598,-0.0249494352633679,-0.016256814852676,-0.0414852578561431,-0.0427057987808964,-0.090334011007966,-0.1190104700238319,-0.0153864622069266,0.0267932942444011,0.0036949757693066,0.0060223537987249,-0.0150997681475618,-0.0280213508804892,-0.0533937208519839,-0.0394860761562039,-0.0819795049159143,-0.1079382688023008,-0.0145046547592421,0.0206977497819066,0.0010011383384579,-0.0137227432166774,-0.0161956888769813,-0.0373857688582281,-0.043243222171646,-0.029113959336002,-0.0741204333888842,-0.0940911140775923,-0.0034562527876215,0.0265684264363974,0.0017832535944201,-0.0057839644287818,-0.0172771750689498,-0.0431363040565749,-0.0381280977412641,-0.0138644960792022,-0.0284388232202217,-0.093271219116045,-0.00558596283586,0.0432706625452564,-0.002600545817517,-0.0010626481093419,0.0007981884623352,-0.0167243595847365,-0.0211750456715623,-0.0071700694146734,-0.0428537181969702,-0.0601114274271379,-0.0280203423685484,-0.0089052307953564,-0.0308330388623456,-0.0086134664704574,-0.029880166920105,-0.0175555730087088,-0.0020665961794656,-0.0027898956665378,-0.0033002877411426,0.0091572168978344,5.581055457207776e-05,-0.0006571739469838,-0.0146106166915437,-0.014553921772196,0.0077927508325364,0.0157726688011573,0.0010129616925267,0.0005166594311754,0.5092001910048894
1,V00_R03_recheck_seed2,14882,0.0003291183613947,0.0125728181441601,0.0623250801002706,5.893940130486057,0.425818958718562,0.3283685768411608,0.3443738369371147,-0.0125129655252897,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0031796259772594,0.0080905557936065,0.425818958718562,0.3443738369371147,-0.0146960927852914,0.3870358271929352,0.3099201664585237,-0.0229599786792971,0.3645597713924271,0.2945666824414111,-0.0198841516623399,0.3283685768411608,0.2378142457675846,-0.0025384535651689,0.3091810487584026,0.2111392208149182,0.0016001713733881,0.2971366985463172,0.1966973734498704,-0.0075246799651081,0.3060836877281672,0.2048764085809198,0.0261444796808064,0.0414647388458252,0.0480261075124144,0.0618043627962476,0.0749486237764358,1.4905282058099905,0.0655973487521224,0.0087714013252611,-0.0105957279005356,-0.0333486572458231,0.0001535056451672,-0.0294285411773511,-0.0609055929909857,-0.0773795522212716,-0.1086191919015793,-0.1557342940988754,-0.2425045375828744,0.0090581823547057,-0.0018486487076839,-0.0439705218573677,-0.0014715655099467,-0.0038922910590223,-0.0618952069527275,-0.0903261052025907,-0.1251035015281128,-0.1582451070762927,-0.2990075116117646,0.0022392883783281,-0.0244314962247999,-0.0267587386831682,0.0024703674558576,-0.0045192532215462,-0.0669836229622686,-0.08046579261358,-0.0882331790996554,-0.1316083591677773,-0.2551681756102185,0.0134501460136063,-0.0220744752070977,-0.014396032972141,0.0132984226987332,-0.0120412798818497,-0.0640702739796626,-0.0668144701411026,-0.0588884837380559,-0.1083723753677367,-0.2065342710181709,0.0158316835767113,-0.0227258062922102,-0.0159299749754183,0.0172989009198402,-0.0073875899175389,-0.0497463522272643,-0.046332037380443,-0.0365009152636908,-0.0849561577886863,-0.1548248705343475,0.0384660774617108,-0.0037847294147216,0.0018536161425965,0.0341953691861113,0.0041327549578056,-0.0293302338819709,-0.0265990137787391,-0.0296797455988686,-0.0571143014785269,-0.0701627824490387,-0.1159684701904594,-0.133906346553257,-0.1167051132837699,-0.1330793612286351,-0.0691404173346355,-0.0848676516953777,-0.0196244112807823,-0.0259853312941296,0.0033139031717817,0.0006336716093865,0.0091241438443101,0.0150811487974909,0.0124295228894003,0.0124946459021543,0.0124705067485472,0.0118238956589273,-0.0028705837202174,-0.0050610608036352,0.4806013174193265
1,V01_less_persistence_seed1,14882,0.0002639013428879,0.0054025971250558,0.6287183332236499,60.172445868012765,0.0392461170266807,-0.0020301998287234,0.0085551527972676,-0.0023063192793648,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.00506617421953,-0.034570974929179,0.0392461170266807,0.0085551527972676,-0.038371970353036,0.007797744689678,-0.0016403365084752,-0.0059628765913839,0.0095576994873278,-0.0009280657229222,-0.0072489398813279,-0.0020301998287234,6.170737522781323e-05,-0.0054925975502233,-0.0028608690159337,-0.0030024107941832,-0.0133788815223068,-0.0066469077286922,-0.0041348995044471,0.0049503427556432,-0.0033027758760591,-0.0015800036859378,0.0083271556068211,0.0118937827087938,0.0149833779223263,0.072108499027789,0.0764211490750312,6.0627052631854665,0.0653459676041645,-0.0416212857813911,0.0343372351032284,-0.0365098070108327,0.048135518404663,-0.0113447575292435,-0.0432788395490728,-0.043343443519538,-0.0728188828814905,-0.0664864144444435,0.0188029878943842,-0.0494924635291132,0.0500745138215188,-0.0103900532961796,0.0256733066822805,-0.0259924614450501,-0.0427711235328043,-0.0074799641793438,-0.0591614318393409,-0.0772006709285263,-0.0569563745092059,-0.0615065224349786,0.0266599044624875,-0.0038141941478662,0.0422757844877688,-0.0153750100292199,-0.0386323995073642,-0.0246598233542911,-0.0622605804442992,-0.0653986572380359,-0.0511965553004108,-0.0706783327547467,0.017593543614029,-0.014461520444346,0.0221137759819657,-0.0168304646160863,-0.0399936562353967,-0.0191053948176952,-0.0435382422609741,-0.0456941876401261,-0.0482863811409313,-0.039719643290538,0.006079884556573,-0.0154927609692218,0.02308999632675,-0.0106850010805497,-0.0432072615146482,-0.0096447529026094,-0.021033876730237,-0.0197238779898004,-0.0487600425282387,-0.0024904352638271,0.0190471473013817,-0.0254398059310427,0.0479602619672864,-0.0261829335933331,-0.0082081793555595,-0.0340320319182048,-0.0050269233697411,-0.0490490401889434,-0.0283874492884575,-0.0131361380617379,-0.0053822149578673,-0.0195277330822051,-0.0070916778355419,-0.0224397780412608,-0.0141650339787679,0.0010636022749495,-0.0017446200373755,-0.0021909922380993,0.0099800971099427,0.0015812380341155,-0.0001656419041514,-0.016219715746101,-0.015791025630165,0.0093590248004844,0.0156593740985626,0.0033912366694052,0.0013572106887417,0.5668288646863071
1,V01_less_persistence_seed2,14882,0.0003177411296875,0.0116214637128916,0.0659581922149932,6.159937336116375,0.394308686413267,0.3156302447483194,0.2821644406904117,-0.0064155267851734,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0023321612601134,-0.0148003127757712,0.394308686413267,0.2821644406904117,-0.0014557143460559,0.3521299873557994,0.2489696258100475,-0.0080945881778954,0.3426314800207194,0.24081609941868,-0.0231819872781755,0.3156302447483194,0.208185852419111,-0.0045356601681599,0.3128114926242761,0.2025262572725873,0.0033966747822131,0.3081415596698395,0.2051519643335304,-0.0195133224878785,0.3093641692548785,0.199120864780185,0.0253632799722254,0.0375955648347735,0.042179947104305,0.0615088538788264,0.0751485526561737,1.6360667581175576,0.0656317113208708,0.0028218715162489,0.0066224509931706,-0.0413849733372746,-0.03651483982868,-0.023445502881704,-0.0525600445132824,-0.0918107873765459,-0.0782020302493618,-0.1253820734292479,-0.2254942584222264,-0.010255585236056,-0.021407941689835,-0.0360912329154955,-0.041860796158122,-0.0193246422215588,-0.0395092361498503,-0.0870836333354093,-0.0387633628717683,-0.1061534429732196,-0.2377012841228339,-0.0073648905632088,-0.0144644676161461,-0.0236114809558587,-0.0402597751637374,-0.035842117279966,-0.0195651786850069,-0.086138689049781,-0.0273612549721482,-0.0604498272764657,-0.2006321324924465,-0.0193659147196893,-0.0070328757505774,-0.0214899146769107,-0.0185011506817748,-0.0367122112972749,-0.0250672346142657,-0.0719828978796219,-0.0204778409744505,-0.0351255342226715,-0.1514322651471092,-0.0119068170810764,-0.0108295565044398,-0.0144967549300335,-0.0225643723783937,-0.0168535068608602,-0.0231939403525343,-0.0395711606596647,-0.0216057233746118,-0.0138970539611103,-0.1174532383812905,0.0111382230328367,-0.0067041681224916,-0.0113597485774658,-0.0015923573769489,1.698599945105758e-05,-0.0122700579368046,-0.0498629306533326,-0.0140805351008069,-0.0025802497789626,-0.0630576870286966,-0.104581623385122,-0.1168986344040465,-0.0737254494767535,-0.0738367372041558,-0.0334071780304706,-0.041114981328481,-0.0086194404500711,-0.0160933942829453,0.0204774374315978,0.0194867559732199,0.0116937115995505,0.0116800243671874,0.0176256315610895,0.0131076223118717,0.0062491896449677,0.0102956328625575,-0.0025978979062815,-0.0062553116766573,0.41751213755347
1,V02_less_leverage_seed1,14882,0.000264087774765,0.0054433124260214,0.6133478262365,58.47273723371599,0.0517280324209436,-0.0024465567692262,0.0113510109921987,-0.0023731269141336,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0054736176858182,-0.040264793608426,0.0517280324209436,0.0113510109921987,-0.036023019894982,0.0103274986460401,-0.0018228160139006,-0.0070253029623143,0.0125959258008119,-0.0002219124607671,-0.006554355516573,-0.0024465567692262,5.552145892138293e-05,-0.0050560115411309,-0.0030384029856219,-0.0033324020564362,-0.0142296962850041,-0.0068693342569575,-0.0042519920819762,0.0038940999361932,-0.0026135548690407,-0.0016604924740515,0.0084422213491052,0.01220045696944,0.0151762831071391,0.0721702049821617,0.0760826393961906,5.9153690032213895,0.0653367359861689,-0.0214089618383916,0.0499802628796864,0.003039317263199,-0.020553518140651,-0.0288809399041025,-0.0092404523460985,-0.0299475562569628,-0.0705041635754916,-0.0952154778699245,-0.0252048792394001,-0.0448529548267511,0.0507669492275897,-0.0013555843452566,-0.0186884276904238,-0.0444573929139253,-0.0225405544701223,-0.0178273639302729,-0.0373363631990262,-0.0815979979668509,-0.0912924718499401,-0.0588174452685151,0.039037055293462,0.0086872219219494,0.0121981103672616,-0.0155562937887014,-0.0334834686695203,-0.0552863273225135,-0.0423312961263314,-0.0760946187611678,-0.0778915745881506,-0.0530274201895951,0.0315790677885246,-0.003568544660156,-0.0182272046433937,-0.0065352275871749,-0.0348377781308917,-0.0397936465476973,-0.0218712919244132,-0.0705822150044575,-0.0661340899291261,-0.0266359789500931,0.0342009910107409,-0.0161179825007793,7.855393170192035e-05,-0.0017367489234207,-0.0460106932859057,-0.0289915132046069,-0.0077457146966122,-0.0301629608517593,-0.0670161417055075,-0.0113862346295102,0.0261882223438919,-0.014156300042113,0.0214418391020301,0.0076785991771753,-0.0180539586629697,-0.0252235829355639,-0.009115961607029,-0.0510443494749754,-0.0402151009801946,-0.0250035599935006,-0.0083243689718056,-0.0221635625414749,-0.0064357053107199,-0.0249756799534102,-0.0144734899414619,0.0015690306329789,-0.0010439797777836,-0.0013567343863744,0.0096855535942436,0.0001995875646666,-0.0007641317757937,-0.0155656997547974,-0.0149746051641984,0.0075380302896608,0.0149820762370032,0.0017686129883949,0.001273222473418,0.528820530728715
1,V02_less_leverage_seed2,14882,0.0003241148032744,0.0121273097930681,0.071922830277267,6.208517713357543,0.385221543022278,0.2731447669245973,0.2848618120413398,-0.0105753290391448,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0038483310841608,-0.0187938140117878,0.385221543022278,0.2848618120413398,-0.0076467260544363,0.3325879511236416,0.2381430013637966,-0.0104035240655584,0.3024543846751877,0.2153208582351722,-0.0195478715147157,0.2731447669245973,0.1678601245695616,-0.0067041478976876,0.268578752287019,0.1650489051365789,0.0069123899723945,0.2613261709046458,0.1577247043504775,-0.0067116060820969,0.2640925727334332,0.1597835068484965,0.0255020472221076,0.0402867007628083,0.0469906689599155,0.0593875416331006,0.0750575438141822,1.4741227379911364,0.065731754105377,0.0028535918636507,0.0176948917265547,-0.0227914305160087,0.0319114827723148,-0.0398196116221406,-0.0847165234402674,-0.0789864483810386,-0.0772972454983507,-0.2073497114505578,-0.2892218518100074,-0.0069776637287233,0.0313477796781963,-0.0139224635084061,0.0174112183846382,-0.0321722887805006,-0.0876691697627706,-0.0433845665185553,-0.0873983581621136,-0.2015768364156304,-0.3007736400486323,-0.0073510872716349,0.0328789291038507,0.0046173355668138,0.0204486503191803,-0.0090948061839766,-0.07049290134432,-0.0453348782253202,-0.07868947064693,-0.150346649452862,-0.2529081240753972,-0.0011893777126583,0.0391951667992128,0.0060822058962491,0.0141678001975337,0.0074292389843037,-0.0664660799281773,-0.0292026483941807,-0.0651841420442456,-0.1084275218514311,-0.1983068984848914,-0.0027735438811371,0.0312277985775226,0.0019656753488976,0.0218588565467395,0.0124692804464222,-0.0642595052406416,-0.0084721240122137,-0.0482474587782622,-0.0784981572803948,-0.150871669070968,-0.0176695868323481,0.011817782909577,0.0021774392059121,0.0371941866943398,0.0191458241178496,-0.063542931250088,0.008550791684937,-0.0335808289777832,-0.0530925242013754,-0.0747195189195621,-0.1407242198376149,-0.1575562222364502,-0.1017856757269667,-0.1102369973691269,-0.0503781701005375,-0.0647675712433462,-0.009029764023113,-0.0174073990319073,0.0146329292730174,0.0141634401192764,0.0098529715194558,0.0184255684971173,0.0132568952587133,0.00730414825024,0.0070862699964125,0.0095837886266097,-0.0036417193341288,-0.0043236601337417,0.3706248714924602
1,V03_tiny_turnover_seed1,14882,0.0002601365452377,0.0049698775792621,0.7857309872139874,82.64486746586581,0.058307210519658,0.0003121720500191,0.0121841080132787,-0.0012533119238911,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0040613625014931,-0.0302657307812684,0.058307210519658,0.0121841080132787,-0.0461796989828223,0.0149343954518112,-0.000490459663586,0.0009477037273315,0.0041413115493005,-0.0020710769881564,-0.0064129398411819,0.0003121720500191,-0.0011232012031922,-0.0005591168506067,-0.001522700647122,-0.0029844456070718,-0.0130215368384121,-0.0020201261595964,-0.0028148214479113,0.0092221565055385,-0.0046076804971233,-0.0016378981452004,0.007153589092195,0.0102707324922084,0.0138302302360534,0.0730259245708587,0.0769757330417633,7.110098975536272,0.0649375485207504,-0.0161334429937372,0.0184756170154685,-0.0123789282787599,-0.0221908088945054,0.0061761114015244,-0.0327047585000121,-0.0572112850797262,-0.0617025296686896,-0.0596131838410759,-0.032436822073795,-0.000938413247221,-0.0145132465544766,0.0265281070117771,0.0061980104558335,0.015969172380128,-0.0417495057344639,-0.0310599615609748,-0.0368838604853961,-0.0472236532560496,-0.0694986119715817,-0.0073055220523677,0.0243972696003862,0.0272853130308014,0.0056654592422733,-0.0181475884710366,-0.0723156267345285,-0.0086705472301563,-0.0186644954375159,-0.0198627918982968,-0.0771314042526701,0.0147091237209033,0.0146801153231673,0.0284504938052572,0.0231952578925148,-0.0233738458065366,-0.0384501362745462,-0.0272939304461111,-0.0045670198567492,-0.0089234445533746,-0.0739874656272549,0.0116193080111981,0.0005209008042314,0.0317611393256066,0.0310297196923511,-0.0126241194741272,-0.0349010794267742,-0.0264172084953361,0.0234222202126791,-0.0040091717025103,-0.0734959296986659,-0.0060858787119302,0.0384407038579608,0.0287960226835907,0.0167643093507123,-0.010957072530906,-0.0313846848864774,-0.0043908511760789,0.0269783671214245,0.0065770718944221,-0.0497507544926686,-0.0245112979985222,-0.0093209770936874,-0.0208946258245966,-0.0048673598967626,-0.0075925376093915,-0.0065765235523591,0.0018145010185161,-0.0015994371282588,0.0027059166077001,0.0094633353074947,0.0060139560516344,0.0046444429590609,-0.0141620809599375,-0.0127659214687071,0.0055738367952761,0.013654168571131,0.0018337059139006,0.0018217539417805,0.5648150291751569
1,V03_tiny_turnover_seed2,14882,0.0002628838791481,0.0053066551409178,0.3474036245709904,49.77752313264359,0.0722518942172356,0.0024297306832135,0.0127540194970118,-0.0006678845182094,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0017813803101371,-0.0422066550576254,0.0722518942172356,0.0127540194970118,-0.0259113065439904,0.02913437959746,0.0009415816323308,-0.0184159895341205,0.0054357113086382,-0.0027193691901288,-0.0014073708228178,0.0024297306832135,-0.0027478176366347,0.0007974997558421,0.0045464148902686,-0.0020980815001753,0.0021152351273246,0.0239466806572253,0.0126667885204032,0.0136908134586188,0.006711869750781,-0.0026065723253737,0.0084358570165932,0.0125907539948821,0.0172872651275245,0.062293728850783,0.0759876817464828,4.947577315552656,0.0652485921967125,-0.0039991840306645,-0.0085287617189189,-0.0116910578025034,-0.069976031275031,-0.0578953588129586,0.0229404275518536,-0.0664866890823616,-0.0731722137267683,-0.101796087212967,-0.0830318350540983,0.0246903673230939,-0.0321731380218617,0.0138479388947482,-0.02071215697744,-0.0333282434003335,0.015473437878327,-0.0636586206042437,-0.0858912984132412,-0.0680669618755127,-0.1606589988810547,0.0243811143551369,-0.0135228311116113,-0.0134561844384699,0.0271102428111801,-0.0344931349225074,0.0076572342103956,-0.0517658959048787,-0.0660339423559447,-0.0434821645442132,-0.1535709032317672,0.0356845324229781,0.0297163189891745,-0.0088431166321664,0.042983460768134,-0.0267543824701722,0.0047276228855466,-0.026870143647073,-0.059136848165813,-0.0464359972405575,-0.1200774455457594,0.018501463837899,0.0145353702472329,-0.0064452181353198,0.0362222634156881,-0.0144729551721674,0.0108887235362459,-0.0113700717299596,-0.0378749156789176,-0.0502080447939546,-0.1152029409340682,-0.0221108838425092,0.012481318385909,0.021616606047192,0.0250254196735715,-0.0116876048892752,0.0394670272198718,0.0035919298968853,0.0053109868885868,-0.0505464586477808,-0.0693910388730906,-0.0493529478998388,-0.0130968635192976,-0.0266576159803252,-0.0008300173105905,-0.0327463325851976,-0.0185375607104866,-0.0017671088509277,0.0036953540829738,0.0039823079894079,0.0083254607970243,0.0039339984656667,0.0011084579643082,0.0086954137725472,0.0142874209796649,-0.0109150059532589,-0.0022623575154983,-0.0213663732789664,-0.0190859144292619,0.532858366490678
2,V04_v02_mid_seed1,14882,0.0002642404152102,0.0054648589886167,0.6060794224320076,57.47697202636753,0.05266662243996,-0.0014281565740629,0.0118042594211275,-0.0024274173516519,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0048967934994716,-0.039065997361391,0.05266662243996,0.0118042594211275,-0.0375402955319522,0.011350251026557,-0.001645412080074,-0.0079262108405138,0.0139998304096844,-0.0001873962739575,-0.0062963051979091,-0.0014281565740629,0.0001755321363569,-0.0053554365567706,-0.0023992301387629,-0.0033214138437779,-0.0136131070140786,-0.0060204291610846,-0.0042014650621357,0.0044339085268043,-0.0018208294411422,-0.0014612069885879,0.0084937066305428,0.0123723343387246,0.0152113905036821,0.0720982275158169,0.0760689973831176,5.827374652344633,0.0653461766588427,0.0061655283788905,0.0514463159364293,-0.0050287846312649,-0.0105360407599659,-0.0156846204158185,-0.0162888560546695,-0.0382862292591037,-0.0628475233905218,-0.1071596088106015,-0.0270699061217501,-0.0244364933078243,0.0266733361305573,0.0009411907667805,-0.0144657348798921,-0.022752844213831,-0.0350829511264557,-0.0261867982985111,-0.0231156793637731,-0.092120968040269,-0.1001082551507964,-0.033357556693089,0.0104199287601418,0.0059602515780533,0.0159610713855185,-0.0013305677979314,-0.0399889064600724,-0.0552786355611596,-0.0335218922643601,-0.0702334103242093,-0.0915576824760669,-0.0188513558598008,0.0075747622531165,-0.0021324457707676,-0.0141056036933647,-0.0065455448965973,-0.0335447440404274,-0.0378476219175222,-0.0237429467943398,-0.0570379995988343,-0.0792569650179237,-0.0066892534744021,0.0145138322875341,-0.0156332652261258,0.0123541188841757,-0.0050075668941327,-0.0553044018701428,-0.0260324731965027,-0.0067423420422644,-0.0224417832466834,-0.0770804918927119,0.0050010566591872,0.038125421791844,-0.0207097548305052,0.0278277036534602,0.0077852738004144,-0.0284121771574816,-0.0285732539755673,0.0004917508792764,-0.046899657603254,-0.0475726164573024,-0.0259396193777038,-0.008908709248163,-0.0237094989833291,-0.0070599716014965,-0.026326818999597,-0.014946077284402,0.0008665639737062,-0.0012684432634583,-0.0019418176552432,0.0096897661227642,0.0001264249634572,-0.000911029666111,-0.0154047692178791,-0.0148023832210679,0.0082435646677577,0.0154460301785716,0.0025629695153527,0.0014657684811911,0.5256253045160473
2,V04_v02_mid_seed2,14882,0.000314470221293,0.0115147229610192,0.0501509901091446,6.360616966609414,0.3121897879893199,0.198545358652373,0.2069182969483673,-0.0126019872579689,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004981472648451,-0.0147088501233206,0.3121897879893199,0.2069182969483673,-0.0081029691642089,0.2556013201153734,0.160773436915687,-0.0172970588114087,0.2288970766300566,0.1531858864109633,-0.0167010381470767,0.198545358652373,0.1044930098796437,-0.0108940087832599,0.1924879312149631,0.1039147650959595,0.0022856734955836,0.1877799189509749,0.0973580633781494,0.0006817879477542,0.1920541068107879,0.0997222298042126,0.0239053163677453,0.0381365099176764,0.0443435433879494,0.0587808820344522,0.0750560462474823,1.5413283009205587,0.0650826396492072,0.0244870487334531,0.0062932645687544,-0.0591670190608384,0.0279476066238763,-0.0483959901469994,-0.028832297996214,-0.0737606037476794,-0.1077876404029031,-0.1803727072403375,-0.2759889564339296,0.0282305372313051,-0.0015732018443939,-0.0439930537768399,0.0008947984277088,-0.0286769481939477,-0.0414663963920699,-0.0607778178053015,-0.1140074052867518,-0.1952084587086779,-0.3232145198938781,0.0342460031550203,-0.0095147717432553,-0.056963654334324,0.0115691076907977,-0.0278973292587829,-0.0196380389713204,-0.0534965353977553,-0.0969179873383935,-0.1576872841243351,-0.2834928522802363,0.0241792283793987,-0.0139076751173835,-0.0521856571215585,0.0161667439132905,-0.0246043134195503,-0.0071987321037231,-0.0493333907210378,-0.0794239637235705,-0.118767822832562,-0.2376160165502114,0.0178314881804349,-0.0270879477550313,-0.0603406192717073,0.019914634625455,-0.0237767593917626,0.0085812166174209,-0.0328602401047267,-0.05206667205654,-0.0867943669521893,-0.179490421469494,0.0297256442698356,-0.017874344757339,-0.0502401428940392,0.0285416174770053,-0.009968841940052,0.0296805848266328,-0.0106814812659491,-0.0320866979889888,-0.0433012359499483,-0.1160535536681972,-0.1345103095871528,-0.1368821238808065,-0.0998081470185553,-0.1027607340609539,-0.0605559684682356,-0.069523619694438,-0.0134019915444811,-0.0209161910457383,0.0051602071952902,0.0087466983767338,0.0163141427516042,0.0246020982320239,0.0135537143225196,0.0087305868927324,0.0119272037649634,0.0102712151725511,-0.0032930591616285,-0.0082750780216459,0.3778048231122653
