round,label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,abs_q095,abs_q099,abs_q0995,abs_q0999,abs_q10,abs_q999_q99_ratio,min_sp500_abs,ann_return_approx,lev_dec8_1d,lev_dec9_1d,lev_dec10_1d,lev_dec8_3d,lev_dec9_3d,lev_dec10_3d,lev_dec8_5d,lev_dec9_5d,lev_dec10_5d,lev_dec8_7d,lev_dec9_7d,lev_dec10_7d
1,T01_signed_local_seed1,14882,0.0002651795974544,0.0056333601555103,0.5730882511217364,68.0780774653513,0.0637666382839728,0.0023927905989524,0.0153228348773306,-0.0031241826982918,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004891084545026,-0.0258727016649902,0.0637666382839728,0.0153228348773306,-0.0468507827222092,0.0149465029439157,-0.0003153354452982,-0.0092920041638958,0.0122989435828988,-0.0011021343059224,-0.0024350801340389,0.0023927905989524,0.0002134468999817,-0.0050322849781502,-0.0015590157059766,-0.0032069951078939,-0.0119414523927805,-0.0054610828750675,-0.0037423212803663,0.0039839085670807,-0.0021697441719592,-0.0018662540591749,0.0084688887931406,0.012283270265907,0.0172775201033797,0.0764664324820043,0.0863181203603744,6.225250346745311,6987.080842345677,0.0653465189960715,-0.1086743060688548,-0.0312030356601964,-0.0461008177717218,-0.0780775815378331,-0.0409195943952555,-0.106969995534236,-0.06177057971691,-0.0430395823445877,-0.1036261027598247,-0.0421203222951208,-0.0420210383229737,-0.0894523968704978
1,T01_signed_local_seed2,14882,0.0003364620177512,0.0130789484246775,0.0240347034316037,7.078663913396441,0.4105726741405686,0.3071618049803786,0.2475266097780902,-0.0154182229184184,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.001806417646546,0.0050908525584188,0.4105726741405686,0.2475266097780902,-0.0016611828290838,0.3746395313021113,0.2133230000834543,-0.0138484238175944,0.3445662386318666,0.2031437328563377,-0.0217527901125788,0.3071618049803786,0.1531597582927172,-0.0078706497971953,0.2895686466669359,0.1326782352067102,-0.0103083539279998,0.2847106029249395,0.1218555789703852,0.0043127335233832,0.2843020271536995,0.125330003018358,0.0272312799468636,0.0418340092897415,0.0488709100335835,0.0705118037685752,0.1142652779817581,1.6855138908683578,6999.263612467278,0.0658167163012397,-0.1177435465467468,-0.1356419025016517,-0.245776837585851,-0.1120400342041484,-0.1666631447142723,-0.3222965476422426,-0.1031494482953758,-0.1422941646476138,-0.2956748536068955,-0.0883542684185774,-0.1202797291194682,-0.2416845129299657
1,T02_diffuse_signed_seed1,14882,0.0002661955531339,0.005813801925335,-0.2376331936016579,73.31572640046792,0.0786211399758333,0.0078071077870984,0.0312907914014527,-0.0036187308883877,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0062337034346852,-0.0144159009753679,0.0786211399758333,0.0312907914014527,-0.0534818364427998,0.0204959451765741,0.0028972804599861,-0.0007870932919121,0.0278249506168936,0.0066381597445224,-0.0101904792110952,0.0078071077870984,0.0042035957949573,-0.0046506816114134,-0.0057680559591152,-0.0037199122311112,-0.0146264270286252,-0.0080089865982474,-0.0042129472385416,0.0028231640793782,-0.0007787883835618,-0.0019840241164904,0.0086642370093613,0.0128354843799024,0.0182249452546235,0.0761883013620973,0.1235749572515487,5.935755839599728,6987.080842345677,0.0653276109987932,-0.1088654429263487,-0.0690293141113475,-0.0232602633048546,-0.080511602494432,-0.0961326583576451,-0.1017737456432329,-0.0661140152762972,-0.0789164287896912,-0.1322845534672486,-0.0487051297043222,-0.0671710885682388,-0.1134697288881046
1,T02_diffuse_signed_seed2,14882,0.0003252925286671,0.0127352606658054,-0.1087030001677425,8.583714600122901,0.3355343518195704,0.2241925763099099,0.1823296442079964,-0.0124414528153154,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0064778452411508,0.0076756738317988,0.3355343518195704,0.1823296442079964,-0.0131873865900677,0.2959382778634595,0.1545731662221078,-0.0118009299097729,0.2652503001361583,0.1460005151075694,-0.0131667406922258,0.2241925763099099,0.1073221694092893,-0.0080711302880387,0.2176875541882308,0.0942168136867794,-0.013999523022458,0.2023879475899892,0.0700247301617576,0.007844414432225,0.2003905081608414,0.0726398285422772,0.0260886782780289,0.0420399439707399,0.0490358931198715,0.0767156350463631,0.1228542029857635,1.824827242865921,6999.263612467278,0.0639830605140454,-0.0913784639819114,-0.149839066158918,-0.2356633218985151,-0.098188808189957,-0.1582565124540953,-0.3090140673130502,-0.0664809619994716,-0.1248688096399429,-0.3020220877232395,-0.0385706830141131,-0.1083359433684324,-0.2594197213296244
1,T03_mixed_sign_seed1,14882,0.0002639287239889,0.0055307362615373,0.8273428913305791,66.97429811379975,0.0729146573296955,0.0027799866743795,0.0187993244209721,-0.0024651668877021,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,0.0044398739532652,-0.0218363600954072,0.0729146573296955,0.0187993244209721,-0.0368773922362155,0.0153580061395437,-0.0002267130843174,-0.0092238871703028,0.0094533137114209,-0.0012045286489651,-0.0024943354727357,0.0027799866743795,-0.0009807622258847,0.0031965181713743,0.0062408919797269,-0.0015435090143547,-0.0172879935191291,0.0018858054174703,-0.0025147615228899,0.0004978348106391,-0.0105812899403649,-0.0020877095491856,0.00836430657655,0.0120433185249567,0.0162410587910562,0.0749754518195992,0.0871169418096542,6.225481096778407,6987.080842345677,0.0651682705494036,-0.0651097117570253,-0.0761012618203855,-0.0823420636959328,-0.0939867118179723,-0.0533853688968452,-0.1177388704024837,-0.1043254887844937,-0.0175931266467538,-0.1120485109295614,-0.0834821888347925,-0.0249309897574547,-0.118352503097162
1,T03_mixed_sign_seed2,14882,0.0004005374367639,0.0183456279209661,0.0972430720058862,5.318703135714999,0.6655112626857119,0.5902693405294536,0.5432118919248095,-0.0179059719783028,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,0.0050841453742973,0.0125051107015121,0.6655112626857119,0.5432118919248095,-0.0220463646123128,0.6357035392150133,0.5063157716246247,0.0029452745605374,0.6213036712888335,0.4821257429610656,3.7669312207851695e-06,0.5902693405294536,0.4364019979202935,-0.0254049199033381,0.5579571416690678,0.3801237598473319,0.0147612386070626,0.5546314299467948,0.3630072560825382,0.0373724185587074,0.5634745880516768,0.3746350336336851,0.0403625879436731,0.0573220843449235,0.0634425581991669,0.0801941855996848,0.1407886296510696,1.399010285758859,6999.263612467278,0.0608491623874376,-0.1885022373093228,-0.1671360048686686,-0.3732399729973447,-0.1811682084017313,-0.1629840973766905,-0.3906387383128636,-0.1571564347361494,-0.1416124174948089,-0.3232047851590035,-0.1327010693181267,-0.1180005645905971,-0.2829850193570644
1,T04_short_residual_seed1,14882,0.0002627986565342,0.0055489791286118,0.661731077021607,66.8906229203721,0.0725104851720692,0.0020393886892927,0.0166757897951239,-0.0015769860296215,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0047790375950042,-0.0228432085943638,0.0725104851720692,0.0166757897951239,-0.0457155386157716,0.0104532368365373,-0.0007570243815284,-0.0093568525615026,0.0046119580749528,-0.0032649740405356,-0.0063588859389596,0.0020393886892927,-0.00063547351929,0.0011088903137166,0.0051763804782455,-0.0025544719338752,-0.0110411477405014,5.779493447996583e-05,-0.0017478370382242,-0.0009306755608231,-0.000197133129644,-0.0015131808149491,0.0084533302113413,0.0120252912119031,0.0162434773705899,0.074824317097664,0.0841734260320663,6.222245746830649,7148.083362171616,0.064835480404408,-0.0418011649113462,-0.0780508537501709,-0.0501837372890584,-0.0402106557569925,-0.0854665430209308,-0.1071935650359301,-0.0340560424117441,-0.0746180126415871,-0.1200514335740779,-0.0402228466051434,-0.072830313932201,-0.1002109506459244
1,T04_short_residual_seed2,14882,0.0003208939852356,0.0138868289198466,0.0619248791050011,6.0511807083094125,0.4087700873546449,0.3282768068237442,0.2802948795145859,-0.0092704694612933,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0048258870155768,-0.0129169091937484,0.4087700873546449,0.2802948795145859,-0.0118850163425965,0.3790863313521412,0.2503262172796947,0.0043343017674203,0.3486867961509569,0.2169416836539986,-0.0123733928491768,0.3282768068237442,0.2005901074367746,-0.0195045530686339,0.3039532534764815,0.1679348729593048,-0.0222273404510251,0.301133082073714,0.1566842552898172,0.0026509745436317,0.3083672527921191,0.1729590460604572,0.0298446896485984,0.0459657699242234,0.051652914918959,0.0693899303674699,0.1019765585660934,1.5096000889762584,7122.113366756713,0.0587447178992686,-0.0723175487140816,-0.1726795265947066,-0.2141128705390039,-0.0740984796892211,-0.1712879061768433,-0.2624046447958335,-0.0533245669262833,-0.1296427041221399,-0.2264511863839704,-0.0467565990517247,-0.0989502891098966,-0.1911815241913092
2,T05_mixed_milder_seed1,14882,0.0002637670996375,0.0054717553692753,0.7303887377175161,70.12641087916893,0.0693656595109477,-0.0005716464767675,0.0161438333808187,-0.0018160567211528,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,0.0027226565544447,-0.0214663130662957,0.0693656595109477,0.0161438333808187,-0.0378894382281489,0.0122813452006301,-0.0018739355682556,-0.0104398002516392,0.0048781867327174,-0.0032870261655317,-0.0043236396191876,-0.0005716464767675,-0.0017573158728557,0.0013184687340548,-0.0015660685141627,-0.0025536405277837,-0.0163647156155923,-0.0093768426462063,-0.0036386082132227,0.0012378376866359,-0.0039343407782186,0.0011605192938754,0.008241935679689,0.0118399774376303,0.0147051257127895,0.0758251650109889,0.0852616280317306,6.404164654064146,6987.080842345677,0.065210110851634,-0.0494125140805415,-0.0801795980087222,-0.0428393077759776,-0.0564442333568027,-0.1017458535384572,-0.1063032541921878,-0.0601250090440094,-0.0722864538942053,-0.1087400603685623,-0.0404246251979119,-0.0545186952971823,-0.1025869341626913
2,T05_mixed_milder_seed2,14882,0.0002999308916256,0.0104203421649371,0.09214244831942,9.22311423544471,0.2871164711956866,0.1941407542070003,0.1311223984621387,-0.0113663472850453,5.5772073646014845e-05,0.0666789781324941,-0.2332020128778507,11.43212023902337,0.2536008919687764,0.00943790520058,0.0056150608177157,0.2871164711956866,0.1311223984621387,-0.0167756910491371,0.2383477503881621,0.1025290680044751,-0.0298007749295443,0.2115342593093681,0.0951987652370397,-0.0053353513698333,0.1941407542070003,0.0798850399338896,-0.0127714963020908,0.1631543760173131,0.055467112552803,-0.0069232084017511,0.1845056465285915,0.0704547794905017,-0.0084818802113954,0.1686068111152538,0.0678922029281613,0.0209019395522773,0.0335563433542847,0.0396028451249003,0.0716359504014261,0.096386507153511,2.134796084457129,6999.263612467278,0.0644034607326975,-0.1206579240671469,-0.1507125992837407,-0.2644297943348669,-0.0715928323424787,-0.1466763040184624,-0.3212121534761107,-0.0723622100087227,-0.1186496984024441,-0.2783011776509518,-0.0701746347080054,-0.0907489425141323,-0.2340660589434523
