label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,abs_q095,abs_q099,abs_q0995,abs_q0999,abs_q10,ann_return_approx,lev_dec1_1d,lev_dec2_1d,lev_dec3_1d,lev_dec4_1d,lev_dec5_1d,lev_dec6_1d,lev_dec7_1d,lev_dec8_1d,lev_dec9_1d,lev_dec10_1d,lev_dec1_3d,lev_dec2_3d,lev_dec3_3d,lev_dec4_3d,lev_dec5_3d,lev_dec6_3d,lev_dec7_3d,lev_dec8_3d,lev_dec9_3d,lev_dec10_3d,lev_dec1_4d,lev_dec2_4d,lev_dec3_4d,lev_dec4_4d,lev_dec5_4d,lev_dec6_4d,lev_dec7_4d,lev_dec8_4d,lev_dec9_4d,lev_dec10_4d,lev_dec1_5d,lev_dec2_5d,lev_dec3_5d,lev_dec4_5d,lev_dec5_5d,lev_dec6_5d,lev_dec7_5d,lev_dec8_5d,lev_dec9_5d,lev_dec10_5d,lev_dec1_7d,lev_dec2_7d,lev_dec3_7d,lev_dec4_7d,lev_dec5_7d,lev_dec6_7d,lev_dec7_7d,lev_dec8_7d,lev_dec9_7d,lev_dec10_7d,lev_dec1_10d,lev_dec2_10d,lev_dec3_10d,lev_dec4_10d,lev_dec5_10d,lev_dec6_10d,lev_dec7_10d,lev_dec8_10d,lev_dec9_10d,lev_dec10_10d,lev_dec1_20d,lev_dec2_20d,lev_dec3_20d,lev_dec4_20d,lev_dec5_20d,lev_dec6_20d,lev_dec7_20d,lev_dec8_20d,lev_dec9_20d,lev_dec10_20d,lev_mid_1d,lev_mid_3d,lev_mid_4d,lev_mid_5d,lev_mid_7d,lev_mid_10d,lev_mid_20d,corr_all,rc_mean,rc_q05,rc_q50,rc_q95,rc_pos_share,dy_std,dy_kurt,ady_acf1,y_min,y_max,y_acf250,score
G09_s1_dampA_seed1,14882,0.0002826152126514966,0.01023948095518551,-1.0763095638607925,28.696496650274298,0.24580934369501045,0.17398073082357549,0.1625493468249833,-0.01463497132904989,0.00011724787054579962,0.04474839948573808,-0.14628116177372608,7.543413491448167,0.09712437286301434,0.17860265186603322,-0.03377840771186808,0.24580934369501045,0.1625493468249833,-0.015325191413079548,0.2213966513468697,0.1569908616241374,0.0013467014189235144,0.2033569329432701,0.12198776473307775,0.002816920425269253,0.17398073082357549,0.10719387369859705,0.001851598093423094,0.09978493161056295,0.04840298467731516,-0.0030994917355960635,0.0005657182608616873,-0.0027265630846821233,0.003251305907248326,0.014086570635567319,0.0015970571754429046,0.01813396858051419,0.028071888592094186,0.03872646797448358,0.07523729985207428,0.20130476355552673,0.060310373957025876,-0.00021712785176785724,0.04394899898885393,-0.05986660606085627,-0.004288727945329307,-0.07585760676891602,-0.04696011516933791,-0.0993680319561663,-0.11487746540652002,-0.07581918228931828,-0.061085065993580684,0.022081405513218876,0.025026570893147332,-0.02134892195410576,-0.05127164711325253,-0.035305561832783064,-0.03562506527327029,-0.0490096186707403,-0.13525396582957416,-0.09666267660329626,-0.12182305882302075,0.01877349189051555,0.01972188535011644,-0.05749508237371311,-0.044988918998392136,-0.03819073745984866,-0.037800292671901166,-0.05364205857646238,-0.11121132359993714,-0.10585101087490387,-0.12528775914323198,0.0338934833137172,0.006109010259557775,-0.06669754259532044,-0.04879730965031705,-0.022088386441336743,-0.04643713786575757,-0.0638093956138852,-0.09758673964932887,-0.09967957749339519,-0.11585709950710962,0.029979590101804367,0.006381162452648179,-0.06336010817605513,-0.040936016266735965,-0.0090009066025022,-0.05717216269634006,-0.053317401877015946,-0.07573771381587635,-0.07395309705305016,-0.13305700964208503,0.02391655115329558,0.0024140191475045523,-0.07668307091919159,-0.013411295494135144,-0.009710693249555627,-0.06734337377970502,-0.04417015702161734,-0.0799057720639128,-0.061571381919049546,-0.1380549505084931,0.0201950409279922,0.007626589477351344,-0.09075765186966205,0.00815722976161808,0.0200098958575973,-0.029002207358318842,-0.035676910902053924,-0.01080366062006052,-0.0360875412991758,-0.1318001310861457,-0.08257648031805172,-0.07037137764193281,-0.06933908463661065,-0.06592024741274072,-0.05383625640895694,-0.05254027560676807,-0.018312084864402355,0.17860265186603322,0.2158994714871601,-0.3792336334604096,0.299317987078926,0.6031359989114594,0.7429189481511526,0.044749903001890905,4.545343620266895,0.09712437286301435,2.71682403472289,8.795273715395318,0.7728223919841896,0.4384893075809613
G09_s1_dampA_seed2,14882,0.00035379832706032674,0.01373181791657964,-0.6474512958630697,12.243371662744925,0.353140417411801,0.28857703611546964,0.25509977394505706,-0.024782212531348168,0.00015087141347224132,0.047122274834640876,-0.6483488624747221,15.742634357665397,0.14573197826677214,0.17453266498766992,-0.04686269377944219,0.353140417411801,0.25509977394505706,0.02103393292296984,0.3381683373617648,0.19330473381491353,-0.017392463253331502,0.32265484643905096,0.17658150480713422,0.012923127211493165,0.28857703611546964,0.19867432722452225,0.02662133064895713,0.2368560381711299,0.20889231279251866,-0.001239039431540387,0.16673477360318356,0.04227288003219858,0.006914337249482976,0.15077584630197613,0.031173827768294665,0.02760998820886011,0.04212838213890792,0.05020957708358761,0.0755461937561637,0.19406403601169586,0.06802178945707182,-0.010214086548663449,0.029827979735988393,-0.01664130170050299,-0.013137112837142292,-0.01408088517798104,-0.05973393592574763,-0.04792830178568598,-0.08290047490056082,-0.08390141976992009,-0.1653271788195596,-0.0073020936545157775,0.028945621911359694,0.017394667495363093,-0.001133499765418056,-0.015225726998929852,-0.06848869077500701,-0.03170516634701296,-0.12718342917812328,-0.10152573597878382,-0.24420759636412026,-0.005413699293763598,0.03859483123304983,0.023981704520263217,-0.0021831960794206793,-0.02013306782943013,-0.059379607659531035,-0.046325144515411684,-0.1243798127207874,-0.10219876170006979,-0.2528822412761695,-0.0011283904819363482,0.037340756846960046,0.02069966729577751,-0.009595235393919198,-0.028240944119379295,-0.05256023928059947,-0.03261364388765791,-0.12731951400026284,-0.09876985880993151,-0.26548295954741985,-0.0007121944925262785,0.0325467331517421,0.004416480048747931,0.004751770438660573,-0.02707158278156468,-0.04804300122141388,-0.04395051156550942,-0.10860414134459354,-0.10051142736244793,-0.23384641411461984,0.007026739093136309,0.038685936723340524,0.0007262005268057281,-0.0018949952029311727,-0.01025604238577865,-0.04579491084015158,-0.030589478736112535,-0.0717581389593199,-0.09465718723856457,-0.230266117492984,0.01382657151865449,0.046778574331578365,-0.013227474847523265,0.015391418258073592,-0.02339765570404175,-0.03863996085684671,-0.024005901059153678,-0.03211880598057545,-0.06277638556632745,-0.16081897792789954,-0.05770900351197912,-0.06882574985557138,-0.070483278885046,-0.06790084001956621,-0.06563613285510589,-0.05061115163198545,-0.036187741833389006,0.17453266498766992,0.27345878918198535,-0.6955700723652453,0.3825740098015718,0.8241876184302198,0.7484621104576489,0.04712385811141023,12.747319897291288,0.14573197826677217,0.4,10.289512485450778,0.9197651124420573,0.30645614313507497
G09_s1_dampA_seed3,14882,0.00024281680652901892,0.010560865372291941,-0.8806511882716851,19.62189759650411,0.26936093166090475,0.21930655763363016,0.29690730978331986,-0.034640989270726834,0.00038826234663385666,0.050640379466831566,-0.00959147841062369,7.274829881896853,0.0889005107711637,-0.28958101765238214,-0.028722998726654837,0.26936093166090475,0.29690730978331986,0.026387796580736967,0.23972796348443573,0.19870716613235653,0.0029161354815450393,0.23221099403369702,0.22988528990234797,0.015675962404524832,0.21930655763363016,0.20714726799244834,-0.006994505439638692,0.12492501648637017,0.07671965420694196,0.004312648244178904,0.06547857157477471,0.014091053522808194,-0.015746851865076145,0.06792474773780308,0.014676460686122193,0.019865297060459853,0.029949446450918946,0.037625984586775275,0.0776122880801565,0.1861826777458191,0.04884622174633102,0.0004012198074165286,-0.018307622458792732,-0.011914506911346247,-0.004253635036477866,-0.03642015256078095,-0.028725820023810033,-0.08781703615658758,-0.07560114766740066,-0.08389212228844815,-0.15101519067056662,0.014471820446044916,-0.0313799882714639,-0.026188023769791968,-0.008471072949193479,-0.037645286833947404,-0.02854987569016395,-0.06495035933823315,-0.058539224505578205,-0.1112971935062711,-0.23306651333945005,0.0031585230911637054,-0.02651114980486259,-0.03553472103517979,0.003292463461772585,-0.04231711806651849,-0.033347789600197214,-0.06420751337810295,-0.07959574418004493,-0.10942604573723444,-0.24299730422973612,0.003495031674724566,-0.036617462226280914,-0.05005101725602628,-0.005744560118727732,-0.04178172228236692,-0.02150930002182359,-0.055540608879180144,-0.10402734117488963,-0.09420192755882925,-0.2476254666070294,0.014089298489590273,-0.016315742486736742,-0.05440524557444933,-0.017407729166475074,-0.04285245598957107,-0.025331096992981132,-0.05669961661784532,-0.09229396684292972,-0.09687595012527869,-0.23665650321030968,0.01990623689155188,-0.00957343814683886,-0.022636366583667966,-0.014350839829352102,-0.03099903549053212,-0.023985199838238547,-0.04666304264625758,-0.07082969253454574,-0.09530840970731552,-0.22357754823708897,0.04997565355502972,-0.004099792001056412,-0.01430058256172126,-0.030590398081270242,-0.01833585208141901,-0.025071337270055897,-0.02173071246867876,-0.059835316537459375,-0.07540533229873919,-0.1724297798069752,-0.062491255739405484,-0.06019638797483876,-0.06577884219241961,-0.0634121799834179,-0.0628106173137212,-0.05355707604337791,-0.040075710131270446,-0.28958101765238214,-0.25494220063587325,-0.5793691488580166,-0.29253435586507204,0.21032566812834003,0.16284729263841005,0.05064208094955248,4.27666975114184,0.0889005107711637,4.155888172215428,10.800492364707456,0.7559431072458906,0.3293020993034457
