firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.007593989880593896,17
1,6,0.00767532624486809,14
2,0,0.005216364052932672,22
3,3,0.023560421898795376,23
4,5,0.0069189355211207665,18
5,0,0.004981650176440709,9
6,5,0.008122186922688223,22
7,6,0.007421704381203335,8
8,4,0.005106496388041077,17
9,1,0.012771790857272031,10
10,5,0.004616842802867175,9
11,2,0.004845911048090299,6
12,5,0.00887660627979151,9
13,5,0.01081060264456368,11
14,0,0.00379677019087594,5
15,0,0.09574693453280922,11
16,0,0.005690134532491074,7
17,0,0.008202307358691732,8
18,2,0.011454817473204851,6
19,0,0.0037079022707670367,3
20,7,0.004462816615595129,3
21,7,0.01028563800056628,5
22,1,0.004803943526303793,5
23,2,9.360817375661576e-05,3
24,5,0.0029485965575213498,6
25,5,0.0014777631653198622,4
26,4,0.005128732534952657,3
27,7,0.0035211896828531283,3
28,5,0.0030511301711939214,7
29,5,0.0058243558569619665,4
30,4,0.0020264209576688614,4
31,4,0.0036704976800084315,4
32,2,0.016211116693085913,6
33,4,0.008234604141460678,5
34,7,0.00359070577246256,7
35,3,0.004830639781924326,3
36,1,0.008617032585101356,5
37,4,0.012454842696415955,3
38,6,0.007401224798497347,7
39,7,0.0032790883490991674,3
40,4,0.0015059647853951947,4
41,6,0.005284199488500603,5
42,2,0.0030635252409812307,3
43,3,0.003238380688290894,5
44,3,0.00782199932560732,3
45,2,0.0038298895185110565,5
46,5,0.392898154510053,4
47,7,0.004030814007946245,3
48,2,0.015353246462479979,4
49,1,0.002346251042393167,5
50,6,0.007397721348533955,3
51,6,0.0053625656214499225,7
52,7,0.0001082747480535113,3
53,2,0.0029541900321235,3
54,5,0.00296855681469117,3
55,5,0.01122458548217225,3
56,6,0.0053295958628602575,4
57,6,0.0023750710138449862,3
58,7,0.011423099717639938,3
59,3,0.0021560583230454127,4
60,0,0.003399509893676975,3
61,1,6.602545412017072e-07,3
62,7,0.0038391997325866105,3
63,6,0.01102159303820196,5
64,0,0.0026009723730399817,4
65,2,0.02668235745524764,3
66,1,0.006571373443834287,3
67,2,0.001876539969085698,3
68,5,0.004351337910498384,5
69,4,0.008910770283797206,3
70,3,0.0028741055023220876,3
71,3,6.637759341928371e-05,3
72,5,0.04989374383917185,4
73,5,0.0020308332933888147,3
74,0,0.00672773294274959,3
75,1,0.007287300601524172,3
76,2,0.0001938383246867106,3
77,3,0.0052572845114230386,3
78,7,0.004801310728959065,3
79,7,0.0019093710744139591,3
