day,firm_id,sector,latent_state,observation,price,return,market_weight,buy_value,sell_value,imbalance,firm_uncertainty,obs_var_factor
0,0,2,0.05118331673297691,0.0956883052905812,8160.550810647865,-0.019203647436960965,0.011177478978917485,1.0974945419324058,44.38323726531752,-0.9517380438353753,0.09752924306074359,1.1170350916728924
0,1,6,0.014223579391238358,0.01297621201366883,9404.542826707187,-0.0078067672448630335,0.002158167995014502,0.39700859997843724,38.68043155557237,-0.9796809310493242,0.041468886544808785,1.0497626638537705
0,2,0,-0.02870364954877198,-0.023197208295150477,6798.677408217546,0.011119440831284497,0.010013694527619176,0.8519635484479775,47.16401696572109,-0.9645133332774981,0.11143993000744293,1.1337279160089315
0,3,3,-0.026251894993002765,-0.08769437372670416,7119.048082903168,0.012611546970193788,0.0033300817370220336,0.7631711887950408,139.33472701865674,-0.989105172896177,0.041377805849764825,1.049653367019718
0,4,5,-0.003742652342826543,0.004570238351308023,6791.579552772433,0.007646516574709922,0.0059383051603165175,0.4099584396934851,57.8976422680454,-0.9859380789053103,0.030413924319844483,1.0364967091838133
0,5,0,-0.009738124598544888,0.09103459599464128,9278.880315267867,0.013567242513096035,0.010050248837388634,1.0122785489872663,84.420552245986,-0.9763023526188721,0.014892593349982728,1.0178711120199793
0,6,5,0.0027240014191400206,-0.057935762788269,6376.787835465298,0.005080706505511251,0.008411732515637396,1.2794277991017167,69.19190944934242,-0.9636894133263576,0.0032607943819098007,1.0039129532582918
0,7,6,0.05847326439168453,-0.011571615875205131,8041.26075724046,0.011193305792052344,0.028203346627393044,0.6766990174441654,91.341010837403,-0.9852919830540389,0.09546896903163166,1.114562762837958
0,8,4,0.013558918846344529,0.055727386695357393,8935.17772388961,-0.0011363734295320995,0.011017966693802374,0.7503253891941828,60.80562796599992,-0.9756213542708887,0.09186561892169313,1.1102387427060318
0,9,1,-0.014313157444941622,0.02148158126773761,7271.01672371071,0.0281665277769428,0.01247408311404027,0.3425870086669249,31.42196502438923,-0.978429602356764,0.02381678417485443,1.0285801410098254
0,10,5,-0.01521940660041882,-0.006746285670379066,8715.665589699289,0.010224674739161447,0.029040133422583627,0.8149337580088677,73.30821220883271,-0.9780113553501244,0.07029452922294578,1.084353435067535
0,11,2,-0.0768846575267601,-0.06505284538162795,7392.06666567677,-0.010508700461812584,0.004518126204030597,0.5571330242490067,142.34306353257278,-0.9922024876358577,0.1811683728902874,1.217402047468345
0,12,5,-0.035736517168164075,-0.023582210680014586,6469.425066923123,-0.0036713138781778705,0.0033007971340951302,0.6054969177136051,68.25740785689526,-0.9824144241319289,0.19633858647755853,1.2356063037730702
0,13,5,0.007194836252981197,-0.04977049313409052,7902.282637880334,0.0034701279783050506,0.008917501020982306,0.9889884674348284,102.555547956116,-0.9808973316780366,0.036321183896072744,1.0435854206752873
0,14,0,-0.007863194825055422,-0.021880860232293138,7560.277078257396,0.02716591665544571,0.011189236743235879,0.5728371745966947,88.6363967254833,-0.9871574465994878,0.049030956421327876,1.0588371477055936
0,15,0,-0.11349905756307607,-0.09982701066759671,8341.316811770337,-0.004942070795871394,0.01599610184405656,0.7713545683057361,186.34925694386834,-0.9917555360409731,0.20000000000000018,1.2400000000000002
