firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.013610616304075732,17
1,6,0.018811839772411968,14
2,0,0.024347082199223536,22
3,3,0.01602985861658159,23
4,5,0.011295122777982771,18
5,0,0.014962886881410844,9
6,5,0.014740590372068495,22
7,6,0.0069392459294108765,8
8,4,0.011523893574313764,17
9,1,0.005806596432274546,10
10,5,0.015056160679820352,9
11,2,0.05779583798341736,6
12,5,0.02093373102307485,9
13,5,0.008904278781289342,11
14,0,0.012016353353739639,5
15,0,0.00445384744955945,11
16,0,0.00949347992129071,7
17,0,0.025523854409720513,8
18,2,0.005491989206037421,6
19,0,0.007967943954265908,3
20,7,0.01695319467189085,3
21,7,0.006669594255736234,5
22,1,0.008051547995985462,5
23,2,0.0019583309966832644,3
24,5,0.033235466183883094,6
25,5,0.006033692572302617,4
26,4,0.00856164339078585,3
27,7,0.013123275793349648,3
28,5,0.003473024052061168,7
29,5,0.00569383737931928,4
30,4,0.005115769808244828,4
31,4,0.0025265285350824854,4
32,2,0.01751132424856587,6
33,4,0.004895237129924915,5
34,7,0.0063091044558115745,7
35,3,0.007113909621849518,3
36,1,0.0066460412418012085,5
37,4,0.006493099786437062,3
38,6,0.006797775742250758,7
39,7,0.00485163177432148,3
40,4,0.013877839637133559,4
41,6,0.02277338671754021,5
42,2,0.00637074313006212,3
43,3,0.005338451255919089,5
44,3,0.06258868610409654,3
45,2,0.015975381203591658,5
46,5,0.02820713818718413,4
47,7,0.003284679434773444,3
48,2,0.016159073628809653,4
49,1,0.008725421034883118,5
50,6,0.0029927718157727115,3
51,6,0.09324240335537501,7
52,7,0.0035990827145081414,3
53,2,0.05355832628535831,3
54,5,0.007391145114497023,3
55,5,0.0030618472124824005,3
56,6,0.002706460843932063,4
57,6,0.010038400506094142,3
58,7,0.0045061941610728025,3
59,3,0.006526391162070918,4
60,0,0.001823962769131946,3
61,1,0.007716077441607086,3
62,7,0.002721560757028826,3
63,6,0.004239124483130173,5
64,0,0.005674411060149431,4
65,2,0.006812905409267191,3
66,1,0.001727475403754552,3
67,2,0.005765153196134612,3
68,5,0.0035567113521221528,5
69,4,0.004106787503909333,3
70,3,0.006866675148171355,3
71,3,0.005115872246431052,3
72,5,0.0033292380158986747,4
73,5,0.04539441515145827,3
74,0,0.004451675477886987,3
75,1,0.007842110687047005,3
76,2,0.009640603505224995,3
77,3,0.003279335976435915,3
78,7,0.00519462512186778,3
79,7,0.01609821652992863,3
