firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.007775741115340983,17
1,6,0.0073818573996989835,14
2,0,0.005252786785777048,22
3,3,0.02192205969035968,23
4,5,0.006973633864024138,18
5,0,0.0049816643381515755,9
6,5,0.008196170490826318,22
7,6,0.007044244141376863,8
8,4,0.005122317656098911,17
9,1,0.012971338266665492,10
10,5,0.0045164263963780715,9
11,2,0.005014727568514145,6
12,5,0.00882751644793853,9
13,5,0.010463223545430271,11
14,0,0.0036670381664113613,5
15,0,0.09489508429247062,11
16,0,0.005627209498686669,7
17,0,0.00799187165621388,8
18,2,0.011208705104575344,6
19,0,0.003664060450640371,3
20,7,0.0045263244681131316,3
21,7,0.0100392578856918,5
22,1,0.004810004036194311,5
23,2,9.724598175658728e-05,3
24,5,0.003063676523351245,6
25,5,0.0015197150790154604,4
26,4,0.005143443814608461,3
27,7,0.003554104957349314,3
28,5,0.0029749777898184482,7
29,5,0.005604409161761813,4
30,4,0.0019971912795064255,4
31,4,0.003835386025514508,4
32,2,0.015361654578427282,6
33,4,0.007976684116762693,5
34,7,0.0035320867098865938,7
35,3,0.004368473525215625,3
36,1,0.008423097711473915,5
37,4,0.011804560831934102,3
38,6,0.007433895831198025,7
39,7,0.00329234363016489,3
40,4,0.0014982287296829255,4
41,6,0.0054347126207948925,5
42,2,0.0030866350821007692,3
43,3,0.003249215303890506,5
44,3,0.007452770899645234,3
45,2,0.0038358395643843827,5
46,5,0.3993694819756422,4
47,7,0.00377786150041723,3
48,2,0.014799140331498995,4
49,1,0.0023309784599508995,5
50,6,0.007481369938856728,3
51,6,0.005690636878656248,7
52,7,0.0001254824395137761,3
53,2,0.0031641634510943383,3
54,5,0.0028738416303757414,3
55,5,0.010798335395759032,3
56,6,0.005253320268793467,4
57,6,0.002166859468886666,3
58,7,0.012317146127590037,3
59,3,0.0022185754197502276,4
60,0,0.0033006893679676077,3
61,1,7.268536441305644e-07,3
62,7,0.0038355477653973123,3
63,6,0.011495208131403655,5
64,0,0.002619405759945169,4
65,2,0.02675606348768606,3
66,1,0.006616202752242433,3
67,2,0.0018302510739295545,3
68,5,0.0046535314633311,5
69,4,0.008778733748797321,3
70,3,0.0028532358161014407,3
71,3,6.352122243737865e-05,3
72,5,0.05018400210594297,4
73,5,0.001927935920747383,3
74,0,0.00685610999924769,3
75,1,0.006734582115840553,3
76,2,0.00017030644786476663,3
77,3,0.005160461186964509,3
78,7,0.0044274845296557175,3
79,7,0.0019551939502451764,3
