firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.007937688361497216,17
1,6,0.007791625336128379,14
2,0,0.005463319835451736,22
3,3,0.02288683654121579,23
4,5,0.007058264198080108,18
5,0,0.00515913173491655,9
6,5,0.008251195318104192,22
7,6,0.007488701176704098,8
8,4,0.005214999042956635,17
9,1,0.013370394535082994,10
10,5,0.004573916729788164,9
11,2,0.0049756700135438845,6
12,5,0.00951947206110285,9
13,5,0.01099770678315817,11
14,0,0.003949628054641357,5
15,0,0.0979206363817943,11
16,0,0.005905238757667554,7
17,0,0.008582325767076437,8
18,2,0.011105197218925727,6
19,0,0.003838457410185655,3
20,7,0.004739223974757926,3
21,7,0.01003551750472806,5
22,1,0.005246177436472538,5
23,2,8.837119059939321e-05,3
24,5,0.0030578204267986287,6
25,5,0.001511115264322291,4
26,4,0.00542640845509418,3
27,7,0.0038816192515929208,3
28,5,0.003145068618092419,7
29,5,0.005999132811895703,4
30,4,0.0020027345482403792,4
31,4,0.003917495595373729,4
32,2,0.016391261487326284,6
33,4,0.008411363975595325,5
34,7,0.003486380955434489,7
35,3,0.00494564108024442,3
36,1,0.008029232002004574,5
37,4,0.012960475924856371,3
38,6,0.007717869959873145,7
39,7,0.0034807106261442672,3
40,4,0.001469472766212718,4
41,6,0.005418663686037026,5
42,2,0.002951239204456053,3
43,3,0.0032750697154698485,5
44,3,0.007917273748675891,3
45,2,0.003940009770300993,5
46,5,0.37968386466996734,4
47,7,0.0041925802556458495,3
48,2,0.015333371193202128,4
49,1,0.0023538416686278724,5
50,6,0.007967511871876526,3
51,6,0.005604272075625533,7
52,7,0.00010591306789218294,3
53,2,0.0033035374278202767,3
54,5,0.002906730786010635,3
55,5,0.011029000358814846,3
56,6,0.005528986994788427,4
57,6,0.0024352473299169876,3
58,7,0.012657522359803745,3
59,3,0.002288307825044371,4
60,0,0.003368616127557439,3
61,1,6.972689903390981e-07,3
62,7,0.003937244730879154,3
63,6,0.011494690637720857,5
64,0,0.0025934285953576486,4
65,2,0.028121121292998447,3
66,1,0.006859846640677991,3
67,2,0.0019544191721852368,3
68,5,0.004538176216710671,5
69,4,0.009205432720973366,3
70,3,0.0029365138681634634,3
71,3,5.5664893444152206e-05,3
72,5,0.04994773743649299,4
73,5,0.001956887702163929,3
74,0,0.007003760218665011,3
75,1,0.007094087175346376,3
76,2,0.000215334870965287,3
77,3,0.005358808343021465,3
78,7,0.004490120112980709,3
79,7,0.002040968851047281,3
