firm_id,sector,initial_market_cap_weight,true_degree
0,3,0.039078742,5
1,6,0.00116685,16
2,4,0.017587503,21
3,3,5.3413452e-05,19
4,0,0.046775326,11
5,6,0.0017439218,20
6,6,0.0006738629,14
7,6,9.548159e-05,8
8,5,0.0010876666,12
9,4,0.0002693919,10
10,4,5.498357e-05,10
11,0,2.2863107e-05,9
12,2,0.0006130355,8
13,7,3.602106e-05,10
14,5,0.017386092,5
15,2,1.1444135e-05,7
16,1,0.00030540605,11
17,3,0.012419915,6
18,6,0.14001156,3
19,3,2.7741378e-05,8
20,1,0.00024699137,7
21,2,3.0380721e-05,5
22,6,6.0857776e-05,4
23,6,0.00045738168,5
24,4,0.037587717,4
25,4,3.4314424e-05,5
26,6,0.06770955,8
27,6,0.00018400513,4
28,7,9.377945e-05,7
29,5,0.0007949664,3
30,2,6.226308e-05,7
31,3,0.11615528,4
32,5,5.2493964e-05,7
33,0,1.8387009e-05,5
34,6,0.007542175,4
35,2,0.0024338185,6
36,2,0.0017708801,7
37,7,2.8282118e-05,5
38,0,0.00023206347,4
39,5,9.8013414e-05,3
40,2,4.519968e-05,4
41,0,0.086071,3
42,7,0.00032630563,5
43,0,0.002546919,4
44,6,0.003646527,3
45,6,0.0005464972,9
46,5,0.0006347512,4
47,3,0.095396616,5
48,1,0.0017662471,5
49,7,0.00020776245,5
50,2,0.00037367246,3
51,5,0.0006198526,3
52,1,0.00034551867,3
53,3,0.03437891,3
54,7,7.267339e-05,6
55,1,0.00030373142,5
56,0,3.6023357e-05,3
57,2,5.4899985e-05,3
58,0,0.0034913237,6
59,3,0.0068490915,3
60,3,0.05720134,4
61,3,0.0002626816,3
62,5,0.01147968,3
63,0,0.0002975652,3
64,5,2.1259097e-05,4
65,4,0.054051965,3
66,0,0.039020147,3
67,7,3.8454302e-05,5
68,2,0.0002305937,3
69,4,1.4756076e-05,4
70,2,1.4119804e-05,3
71,2,0.00016687888,3
72,5,0.0008391045,3
73,6,0.060609423,3
74,1,7.691049e-05,3
75,2,0.0004167483,3
76,7,0.00061095913,4
77,5,1.0587078e-05,3
78,5,2.052462e-05,3
79,1,0.021887964,3
