label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,abs_q095,abs_q099,abs_q0995,abs_q0999,abs_q10,ann_return_approx,lev_dec1_1d,lev_dec2_1d,lev_dec3_1d,lev_dec4_1d,lev_dec5_1d,lev_dec6_1d,lev_dec7_1d,lev_dec8_1d,lev_dec9_1d,lev_dec10_1d,lev_dec1_3d,lev_dec2_3d,lev_dec3_3d,lev_dec4_3d,lev_dec5_3d,lev_dec6_3d,lev_dec7_3d,lev_dec8_3d,lev_dec9_3d,lev_dec10_3d,lev_dec1_5d,lev_dec2_5d,lev_dec3_5d,lev_dec4_5d,lev_dec5_5d,lev_dec6_5d,lev_dec7_5d,lev_dec8_5d,lev_dec9_5d,lev_dec10_5d,lev_dec1_7d,lev_dec2_7d,lev_dec3_7d,lev_dec4_7d,lev_dec5_7d,lev_dec6_7d,lev_dec7_7d,lev_dec8_7d,lev_dec9_7d,lev_dec10_7d,lev_dec1_10d,lev_dec2_10d,lev_dec3_10d,lev_dec4_10d,lev_dec5_10d,lev_dec6_10d,lev_dec7_10d,lev_dec8_10d,lev_dec9_10d,lev_dec10_10d,lev_dec1_20d,lev_dec2_20d,lev_dec3_20d,lev_dec4_20d,lev_dec5_20d,lev_dec6_20d,lev_dec7_20d,lev_dec8_20d,lev_dec9_20d,lev_dec10_20d,score
W00_V06_recheck_seed1,14882,0.0002640210573397591,0.005432532900256598,0.6274706991281697,58.973577607437655,0.05118341265992749,-0.002696513437842919,0.01071745663792044,-0.0023687649429390356,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004762979979978724,-0.04201794988208628,0.05118341265992749,0.01071745663792044,-0.03472780593180339,0.010507476676446768,-0.001806370793603785,-0.007081366221288609,0.01194829140487883,-0.0002405315487134884,-0.007031452421636691,-0.002696513437842919,1.4551912705675152e-05,-0.005227925045916462,-0.001960379915386844,-0.0031895821007624594,-0.014161309024850854,-0.006903732541306944,-0.004203240206373715,0.004164219943752977,-0.0028286858502529566,-0.0016359065979600095,0.00842850222252309,0.012096082894131572,0.015076673049479718,0.07219287934154303,0.0761643648147583,0.06533470623051696,-0.011896445250061035,0.02077253374163303,0.0009506225566207643,-0.016294712522221668,-0.014744925198292905,-0.02565068005192457,-0.01867354574280014,-0.06914157452339068,-0.1173444385494972,-0.01835791208291297,-0.028494827480817306,0.04778556232889173,-0.017045011869261186,-0.0035950806696739284,-0.031095459084991266,-0.034439362891888065,-0.010173284324790201,-0.04539706340620334,-0.09861276983396539,-0.08382574518733998,-0.03872332611347626,0.019047129741997404,-0.007007474565296362,0.024971238601680972,-0.016202762018714505,-0.028794690249197823,-0.04348036024560483,-0.04994111075086787,-0.07247007739370392,-0.07586355933587652,-0.056559238599669596,0.01929692731957799,-0.01354382077057568,-0.004198914515617152,-0.01338950997792619,-0.026336547167900584,-0.02803708826948762,-0.030634714856932827,-0.06697032804554683,-0.0649704844802969,-0.024750981549329545,0.022627469560631552,-0.015381625814444482,0.016102982335724596,-0.022450414366270613,-0.03281132521464419,-0.024277188559749648,-0.014753153799273925,-0.03321162408788633,-0.06377046414899212,0.008013357712269732,0.002100598108461627,0.011429504944437188,0.02558731990392023,-0.028545880187600334,0.004128459866792475,-0.03624085128766826,-0.015041720290689793,-0.052976718857076166,-0.036647213517467386,0.6978333234304206
W00_V06_recheck_seed2,14882,0.0003191086272697181,0.011701764026029243,0.07092417180410446,6.055397834655037,0.362589122467158,0.25114521197605194,0.2516291269302997,-0.010626806228344483,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.002865464892281898,-0.020239495407387027,0.362589122467158,0.2516291269302997,-0.010497739336740074,0.30620420699506323,0.20025445431507558,-0.015291742566120672,0.2891828448385384,0.19367830673495381,-0.015824854843383796,0.25114521197605194,0.141461742760915,-0.00915400799100999,0.2455603891310372,0.13879955998333843,0.0019276131576760939,0.23566943443383426,0.12859738140501326,-0.006023001798619419,0.2362978663003204,0.13344638753842475,0.024089398607611646,0.03753192391246558,0.04349067261442526,0.061552316665649615,0.07506906986236572,0.06574839328364668,-0.01680597816085395,0.0023959765466434195,0.002424195466209857,0.012374944050092046,-0.018808887680517423,-0.08761801708400721,-0.0978093553492717,-0.06090733888985475,-0.2261480614951942,-0.30274754619695604,-0.045104622860122665,0.010687222307854955,-0.015762459970142948,-0.009496440030926964,-0.025632893080308344,-0.07829192754094924,-0.06615680950303561,-0.06012252737563624,-0.19771353702688094,-0.31723018282789994,-0.051205738223273504,-0.013296442889682573,-0.0204010216367659,-0.018849607465975884,0.0025057611685548624,-0.06677164483222028,-0.057491648681308016,-0.053220393076902496,-0.1372212811579001,-0.2620176864277224,-0.040690760627963146,-0.007800214390304081,-0.014408424998514276,-0.015396774282176347,-0.0010922528367864615,-0.060968689928317416,-0.048836960098459004,-0.04865274694382804,-0.0940143404541641,-0.2049662031808729,-0.036613729121514844,-0.008894439151858058,-0.015098533802589685,-0.005512289267702155,-0.0171455517333194,-0.03396766835573931,-0.031236455764721793,-0.019722590565644498,-0.06850190615832455,-0.15891547849275323,-0.032085471448663756,-0.01695204006080944,-0.010933284688476631,0.010638012737653215,0.004205576692991697,0.007647702250750195,-0.021167443757977515,-0.026133043110673347,-0.02346318814729796,-0.09977095655636214,0.36967479903150985
W01_no_fear_seed1,14882,0.00026407929762367675,0.005423911103717223,0.6276864541874273,59.33859960653698,0.047740212182588414,-0.0026772580819124756,0.009392106289819142,-0.0023329341464535143,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004701796236333644,-0.048831680606267455,0.047740212182588414,0.009392106289819142,-0.030226088199266955,0.007594975874725215,-0.002180432664706944,-0.005845992628985938,0.011077730067869608,-0.0003703467274589597,-0.007259386405847929,-0.0026772580819124756,-4.6377203527661026e-05,-0.0048662453929284874,-0.0019439549469513068,-0.0031636498272279057,-0.014072691278318677,-0.00660971573473488,-0.00414001340889257,0.00439628920689442,-0.0028142740634254913,-0.001670633394102979,0.00840107598342001,0.012090088771656158,0.015135355992242626,0.07221769888699087,0.07617683708667755,0.06536285674896769,-0.02294303922659095,0.019244592086433976,-0.0012985286107742397,-0.01874726529938872,-0.016638022569233392,-0.018936838237068578,-0.026145798036216666,-0.06382610252521649,-0.11257885771201263,-0.008739787326556536,-0.05208050118267913,0.05091053147477119,-0.013496826947355097,-0.0037438068808506595,-0.02695178652635336,-0.03224655792169843,-0.016941299062319518,-0.04063107943792789,-0.089842214628869,-0.07490050554427867,-0.06053633064083013,0.02972145676787975,-0.003359949454457543,0.03053543282088585,-0.017717513090876782,-0.02743223532294193,-0.04635773631069416,-0.051841070200080476,-0.06898629150942755,-0.06713663007239523,-0.07460402545937479,0.03284828118148516,-0.00792672016471998,0.0008822712872405531,-0.01625557539822607,-0.022755912767058784,-0.032523527808563366,-0.03322362480965271,-0.06353935659353041,-0.057166592641247994,-0.039710907516457734,0.03928975430544815,-0.009517969141379682,0.0128708510280473,-0.025753810670739067,-0.029722281403846307,-0.022628979004208714,-0.015706176245734622,-0.03481099496516839,-0.05660634762081122,-0.014276081506724951,0.02857108802498659,0.000943667224784288,0.0274575231278127,-0.03792528188110186,0.017612466217346943,-0.034553191179656925,-0.018703237983540816,-0.053353703319421186,-0.03293939890519874,0.7412159422166097
W01_no_fear_seed2,14882,0.0003275297335697831,0.012455748588595482,0.08107125598436644,6.094150622446114,0.40485224877488635,0.28087823560032965,0.3064454238765096,-0.011144559611208487,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004140267277931516,-0.022255355998727935,0.40485224877488635,0.3064454238765096,-0.006751621476576171,0.3399008383972129,0.24544260211606742,-0.00964744536324964,0.317672342366931,0.22582744653485193,-0.014132196533857957,0.28087823560032965,0.17460880277118612,-0.007152020511394311,0.2816971264939727,0.1746429928035687,0.0031611767533757684,0.27199183356109774,0.16613067876156992,-0.007429830104057333,0.2768054278441681,0.16950424203828882,0.026374598965048762,0.041120039857924034,0.04795536641031502,0.06160565909743331,0.07510347664356232,0.06556695483000174,0.0051442843240050795,-0.01107742982066665,0.03360757646960178,-0.019929149998649965,-0.008982159514789948,-0.08274784101634441,-0.10156849531049637,-0.05323276428843462,-0.20800721149389967,-0.3327778061156659,0.006164398705559342,0.008450865749036007,0.01410927606207589,-0.03350737787097249,0.006576098320495123,-0.06448167686636713,-0.08033424275009991,-0.03665386429123872,-0.18763173066421998,-0.32476314164238385,0.017341959200825274,0.011158068236121855,0.041109590520262904,-0.03752110546202574,0.02239215398887774,-0.06026447117518997,-0.06796066056130558,-0.02749008006427577,-0.12671589218970525,-0.2683004387568245,0.01471626642118323,0.017107707900877848,0.03941463799196336,-0.022557638415890653,0.027593003869773598,-0.05907424670895014,-0.06218353674916663,-0.014881223455733178,-0.07926052047942077,-0.2153009117591453,0.011499901758144988,0.006894973049336039,0.030656538108010743,-0.01662107572055856,0.023572400309054307,-0.049032432766887096,-0.04262243413102059,0.009615237018360118,-0.05569254367746762,-0.16934205952631115,0.010616513994682008,0.015027784333058531,0.027119929129981516,-2.1499974656775944e-05,0.02724289759571178,-0.05025693346603708,-0.029597257359346745,-0.0012251575274924845,-0.022002965534657273,-0.09604783372332579,0.5577804622057078
W02_low_asym_seed1,14882,0.0002637511144339296,0.005387580008939647,0.6338673607049664,60.960850547045254,0.045003984975667356,-0.0026541323755761475,0.009171815413041118,-0.0021900915931811786,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004132298549510275,-0.0484448481041927,0.045003984975667356,0.009171815413041118,-0.030364021966105464,0.00567141674729331,-0.0019876826272108416,-0.0053704300145033515,0.008620440772872816,-0.0008601713813021051,-0.006831546501757521,-0.0026541323755761475,0.0001106199855937763,-0.004352428650289131,-0.001139345857791595,-0.0028959036186256624,-0.01359490289064139,-0.007198515913675308,-0.004088110557765212,0.004918368873271423,-0.003657390574306031,-0.0016772457950165113,0.008280283585190768,0.011856402633711714,0.014991793907247428,0.0722584003508094,0.07649844139814377,0.06532737677997802,-0.0399736076388602,0.003452110935373961,0.01708595636324107,0.003982554948411087,-0.029103047661063676,-0.03690709628429355,-0.007591573025443299,-0.06358074997352524,-0.0916660728665214,-0.0010799551867102224,-0.04154058032076202,0.02494262015166714,0.00560816289312677,0.010583471138978586,-0.042370695955998676,-0.02704109806200634,-0.02596909010295197,-0.017212582804035353,-0.08254398171228158,-0.062891564361897,-0.05110799299524564,0.005601958877151275,0.02389704185593045,0.021310108378176307,-0.022972529787305688,-0.017811592242754304,-0.05253078863084086,-0.0280791477158383,-0.06613772861199048,-0.05556552388156246,-0.05623614916738506,-0.003265515919113371,0.017689922990213148,-0.00670513304564531,-0.021678191337254005,-0.011337825714588103,-0.03996931048656716,-0.015034104499483579,-0.058727819661530616,-0.04927162102296783,-0.03366140360957748,-0.01157216005066973,0.027056543062563547,-0.005046064739820757,-0.022874752399031476,-0.02852789184248707,-0.019864968788823958,0.0011917795442151697,-0.030188096441554846,-0.04998970521168842,0.007205439569188567,-2.0971288843418835e-05,0.030288877475840758,0.016676851990697475,-0.033680906472540836,0.008964109652599736,-0.023635159333450294,0.0009520894415782837,-0.06126261455499946,-0.02765429120902059,0.7449956993840239
W02_low_asym_seed2,14882,0.0003166780734103188,0.01145531202062374,0.050758004987613015,6.51704486757952,0.3653115753437238,0.2472044712160291,0.25601467933012795,-0.007026866456621869,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.002350472976460095,-0.02526032502978647,0.3653115753437238,0.25601467933012795,-0.005825323464751552,0.3001764521558041,0.19147810616933714,-0.005393912906179674,0.27460825614309203,0.17474394987984376,-0.015443479582663506,0.2472044712160291,0.13050629956357396,-0.005890819135625469,0.25023251626989135,0.14240465619171433,-0.0017232460575755853,0.24934361638502384,0.14261930695496333,-0.006608732730004824,0.2506855442609087,0.1407031075788919,0.02438021302223204,0.03720801800489429,0.04345718212425701,0.06038919680193091,0.07531091570854187,0.06585837676921091,-0.040911209437747495,-0.019560168744639585,0.021915705304463136,0.021915745312076698,-0.040098923556526216,-0.029701685037192553,-0.06634553037353795,-0.07266720197733706,-0.15793772367445605,-0.30048649309722386,-0.02566503630204785,-0.011524403927447448,0.0004452186303322413,0.04219169238137777,-0.025727074095787526,-0.027829991560968326,-0.020409303271675634,-0.056628780559996275,-0.14673462057158407,-0.27786829536916713,-0.019506867169459374,-0.005958021170545155,0.0030476254126420494,0.056897494935549214,-0.030663696369452476,-0.024870200812029765,-0.007039885067166756,-0.05983567346752582,-0.10036399267252272,-0.22958371808727196,-0.003396883110060285,0.003245466059020636,0.003911470929148641,0.06925046928194613,-0.02743729276275739,-0.018794361823667706,0.011876724344794079,-0.05409904797405917,-0.05672777436578275,-0.18523795762712145,0.004587786522147312,0.013665400351415719,-0.002015673402302093,0.07801408560361255,-0.029576277836478277,-0.010894112301961523,0.024264667984142847,-0.04472570604506972,-0.024839790409186262,-0.14568287123282678,0.004843209220647133,0.00272387108046688,0.013828102968904304,0.09249747932553774,-0.014097726111226398,0.010453390256014427,0.02209022277236127,-0.04736011023771758,-0.0023616320536117446,-0.08796646324550342,0.3970196202036702
W03_min_asym_keep_acf_seed1,14882,0.0002637814012729051,0.0053672837916264645,0.631285382049759,61.8149465856123,0.04590403632979659,-0.0019546843774941283,0.010275984924866258,-0.0019112456212752305,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.004516593450647048,-0.04594881592382048,0.04590403632979659,0.010275984924866258,-0.028907855087839742,0.001790592779717235,-0.0021499434063397657,-0.0034178650843778523,0.005572756995667645,-0.0013438924175124543,-0.0063167313673313475,-0.0019546843774941283,0.00023005745497334837,-0.005193736366797649,-0.00099548131177545,-0.002935540069651408,-0.015081067293673879,-0.006571210788837469,-0.0038490358768991655,0.0058956181533779,-0.003952594068458043,-0.0016270187922509144,0.008223596354946494,0.011808277461677794,0.014999335296451949,0.07226191230863371,0.0769331157207489,0.06536465965754079,-0.028614877365653133,0.02962323620033583,0.06262562464273357,-0.05222425260600745,-0.04031931338722622,0.014595492782126185,-0.017430843316274144,-0.053695120159399645,-0.048560241754315524,-0.004087681081384478,-0.039036403529439226,0.02531237700627837,0.004181604442364939,-0.03133949505538303,-0.024802870864104296,-0.00678014625000114,-0.0018815978764762918,-0.035985627483443784,-0.05612508547659103,-0.04556738674676236,-0.04407708254412228,0.01171832624530464,0.00785119682071152,-0.01580324150247872,0.0015757661132322145,-0.027520598395097767,-0.021524723087183822,-0.04199671289504787,-0.040500618031338184,-0.04472748569294673,-0.048525409970505785,0.006679201529973177,-0.0038247469095847777,-0.029837675522756853,-0.005241109616950147,-0.012793276107938335,-0.019816371383427556,-0.026320514634250728,-0.03496884714066876,-0.04111330572878892,-0.005653240784237124,0.01904829322938365,-0.012775702883510674,-0.0071562394450799816,0.004019062292781766,-0.04806873200784334,0.009108655415138757,-0.02039071251330852,0.002472487545586816,-0.04681949680572308,0.01077006896535945,0.03198268810344772,-0.003522798694806927,0.0016723504688840398,0.006659574325258766,-0.03725032682348288,0.005527655555608231,0.0013774560708792855,-0.0332452326479274,-0.028086214486528416,0.7505866021353135
W03_min_asym_keep_acf_seed2,14882,0.00030561101815134535,0.010655344180477916,0.05603259626309671,6.894121341758053,0.3369340541250861,0.2340814880781454,0.2140961258430825,-0.006263574284747659,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.0014192709967702085,-0.03063779186178856,0.3369340541250861,0.2140961258430825,-0.0020324425050936065,0.26501957047570046,0.14429219051123401,-0.009785608158712336,0.24777320784021842,0.13551930101227383,-0.014898273308556819,0.2340814880781454,0.10561136395785645,-0.003893489010584099,0.23972982820722846,0.12306305128024472,-0.001485314169342676,0.23726809959317027,0.11695023815707846,-0.0051814314215390305,0.22930330188207784,0.11087198561726866,0.022351017966866494,0.03335242226719856,0.040190630462020524,0.06220499804616108,0.07459664344787598,0.06526130874114378,-0.007910198452704346,0.012704470463250734,0.05075571636572026,-0.017039708458698205,-0.032030707585794384,-0.04403171849378889,-0.06734539107643142,-0.02984130611173495,-0.13636488611681286,-0.26403790099197816,-0.033467107349188924,-0.0005845327278593513,0.009842805177022337,0.0020283403211399523,0.01326325275676369,-0.011833558496631456,-0.05729547905929264,-0.036628149962574574,-0.10882664939370323,-0.23786621640243852,-0.009330223065513643,-0.012332281337767377,0.009870378710649122,0.024030972744774205,0.0007249897235006959,-0.005197021192273753,-0.07135502669067272,-0.04246168581646582,-0.07027563616935209,-0.1891437775529288,-0.0125880791152846,0.00030199984266574237,0.02581268868636098,0.021874736456960604,0.009265716281293565,-0.0013716909224716568,-0.057088792942691736,-0.03187249147098999,-0.04971455004585474,-0.14782781119028823,-0.018428505220794828,0.005428826794808448,0.044097664914132334,0.03594943395757991,0.012248929677702476,0.006765585510173326,-0.040208285539933976,-0.02795702975689525,-0.040018558543200536,-0.1206673346158451,-0.001940541820268302,0.019238378192342108,0.04278433014945457,0.03907969676999321,0.012004577979779765,0.02271320653338553,-0.040740633702669456,-0.02348293296230112,-0.026206989277469905,-0.07932910163063232,0.3685260511969138
