day,firm_id,sector,latent_state,observation,price,return,market_weight,buy_value,sell_value,imbalance,firm_uncertainty,firm_common_eta,obs_var_factor
0,0,2,0.05118331673297691,0.09342735747729843,8086.335876484946,-0.028123356219083913,0.011179703435209624,0.9555439190893641,33.7505642336119,-0.944935115435151,0.0,0.0,1.0
0,1,6,0.014223579391238358,0.012917960171319375,9309.253580901295,-0.01785992416966925,0.002156336518932217,0.4170346831126123,36.13745762242836,-0.9771828490946933,0.0,0.0,1.0
0,2,0,-0.02870364954877198,-0.023886993046287306,6738.572138983487,0.002180407167840081,0.010018250907272935,0.8902605076132588,43.02667051478732,-0.9594570710034865,0.0,0.0,1.0
0,3,3,-0.026251894993002765,-0.08614736205800176,7047.936966926976,0.0024967203365093846,0.003327737775510235,0.6070091213985953,96.74635967086162,-0.9875297767417245,0.0,0.0,1.0
0,4,5,-0.003742652342826543,0.004458951652884673,6722.228749098528,-0.002642856493907142,0.005932792027384514,0.436182565357406,54.44909760061253,-0.984105663138442,0.0,0.0,1.0
0,5,0,-0.009738124598544888,0.0901416423932914,9182.270450255768,0.0030141810279990106,0.010038884095838198,0.9116535073423484,63.411415939490176,-0.9716539177726361,0.0,0.0,1.0
0,6,5,0.0027240014191400206,-0.05781712110257252,6308.619391709449,-0.0056636979469085625,0.008399857746613082,1.1115621180117679,52.07081966451319,-0.958198106920585,0.0,0.0,1.0
0,7,6,0.05847326439168453,-0.007801676606418263,7968.173138918943,0.0020024944735089843,0.02820910972370426,0.689417911493556,74.76265358757895,-0.9817256730454939,0.0,0.0,1.0
0,8,4,0.013558918846344529,0.05387385680305243,8853.160731968468,-0.010305053955238598,0.011019216787300747,0.7407852511138004,51.61481977142118,-0.9717017785858535,0.0,0.0,1.0
0,9,1,-0.014313157444941622,0.020972538861508155,7197.300264223303,0.017742566579877016,0.012463419973598377,0.38963736828668283,29.0427153074869,-0.9735231924497723,0.0,0.0,1.0
0,10,5,-0.01521940660041882,-0.0072609542237146735,8632.71818527559,0.0006103184066485207,0.02903352255137179,0.7869919275038569,63.89986255830521,-0.9756676396078483,0.0,0.0,1.0
0,11,2,-0.0768846575267601,-0.06677182051598164,7337.081883504397,-0.017868883483319928,0.004526577569438411,0.54161993254429,109.68620954227255,-0.9901727188928614,0.0,0.0,1.0
0,12,5,-0.035736517168164075,-0.025979390699508387,6422.235944456373,-0.010938710269693739,0.003307451783858661,0.6320238725807303,62.39186454325703,-0.9799433551639801,0.0,0.0,1.0
0,13,5,0.007194836252981197,-0.048622445326739365,7822.267973872033,-0.0066905216481283995,0.008909994109831459,0.8698375959102957,71.3280419239183,-0.9759040680368083,0.0,0.0,1.0
