label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,abs_q095,abs_q099,abs_q0995,abs_q0999,abs_q10,ann_return_approx,lev_dec1_1d,lev_dec2_1d,lev_dec3_1d,lev_dec4_1d,lev_dec5_1d,lev_dec6_1d,lev_dec7_1d,lev_dec8_1d,lev_dec9_1d,lev_dec10_1d,lev_dec1_3d,lev_dec2_3d,lev_dec3_3d,lev_dec4_3d,lev_dec5_3d,lev_dec6_3d,lev_dec7_3d,lev_dec8_3d,lev_dec9_3d,lev_dec10_3d,lev_dec1_4d,lev_dec2_4d,lev_dec3_4d,lev_dec4_4d,lev_dec5_4d,lev_dec6_4d,lev_dec7_4d,lev_dec8_4d,lev_dec9_4d,lev_dec10_4d,lev_dec1_5d,lev_dec2_5d,lev_dec3_5d,lev_dec4_5d,lev_dec5_5d,lev_dec6_5d,lev_dec7_5d,lev_dec8_5d,lev_dec9_5d,lev_dec10_5d,lev_dec1_7d,lev_dec2_7d,lev_dec3_7d,lev_dec4_7d,lev_dec5_7d,lev_dec6_7d,lev_dec7_7d,lev_dec8_7d,lev_dec9_7d,lev_dec10_7d,lev_dec1_10d,lev_dec2_10d,lev_dec3_10d,lev_dec4_10d,lev_dec5_10d,lev_dec6_10d,lev_dec7_10d,lev_dec8_10d,lev_dec9_10d,lev_dec10_10d,lev_dec1_20d,lev_dec2_20d,lev_dec3_20d,lev_dec4_20d,lev_dec5_20d,lev_dec6_20d,lev_dec7_20d,lev_dec8_20d,lev_dec9_20d,lev_dec10_20d,lev_mid_1d,lev_mid_3d,lev_mid_4d,lev_mid_5d,lev_mid_7d,lev_mid_10d,lev_mid_20d,score
Z58_nomom_widegap_seed1,14882,0.0002819992373269918,0.00956711601909524,0.19260068916098655,20.780132093371414,0.3057074350858938,0.19837593152828314,0.238340995136679,-0.004791726679537471,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.002749760374907866,-0.02175625109875484,0.3057074350858938,0.238340995136679,-0.022243302369442004,0.2407271088883529,0.10569148070442681,-0.005648662619326939,0.2438875368723729,0.15190706351223493,-0.007210510699369705,0.19837593152828314,0.04447510674704063,0.0018987818798704142,0.17877239929560987,0.03477951385272654,-0.0280346413199761,0.1897372080803881,0.09858822240830427,0.016673547464078675,0.15937539019069977,0.022153046896223216,0.01946598617359992,0.031030387058854126,0.037078121006488794,0.06118579979986004,0.15264412760734558,0.06205061850131344,0.02869349972393325,-0.016296733909959064,0.024549108664223628,-0.04101185656403023,0.03966148829589123,-0.013373770638659606,-0.01738019192266528,-0.04551251375834742,-0.09819134401437764,-0.05850782459306449,0.042499194613180254,0.007357437747062394,0.003380883060533706,-0.013347630240811318,0.004627366226673616,-0.03591355684326974,-0.047828349167994055,-0.05260671820947339,-0.05257154610833508,-0.04229261796884011,0.026750226278188835,-0.0013585331838183343,0.002869862133755134,-0.002962032746773585,0.014672160046704998,-0.05065704735829252,-0.04913532982297892,-0.043852208548217746,-0.05801773461635224,-0.0659825983222254,0.02928765733349858,-0.0033058781530215394,0.001702424548175182,-0.0063530572153393675,0.026824085569867907,-0.058330487474700224,-0.05368080992326736,-0.03797613069672215,-0.06604635792182631,-0.07533930141924512,0.020621282634098945,-0.014433449780607783,0.0006460128382705341,0.002895162784502929,0.009699384904065456,-0.06095247721178186,-0.061359072829521286,-0.036487335849641096,-0.07369611492574683,-0.06913350692010171,0.012539515483327619,-0.0029436559237390907,0.000784128085134844,0.00364750239639383,0.01724041200655465,-0.05151853294703483,-0.06901126704986803,-0.022171416875531882,-0.07650777645569914,-0.07940444684267559,0.004017496872340912,0.002320436743764714,-3.2371563495350525e-05,0.014785455630905619,0.04107377936313544,-0.035073121303940184,-0.06785258272025295,-0.018383043533884404,-0.07367921012720782,-0.04382092406852695,-0.026959266407631743,-0.03685856082047973,-0.03739803205982729,-0.03784194008932963,-0.044559123182525126,-0.04039371626431584,-0.030782835664429985,0.5014569185288728
Z58_nomom_widegap_seed2,14882,0.00032254758011207867,0.012937119274759969,-0.41808188173017397,10.822370584378147,0.31244357920936744,0.2862439437653789,0.12604169441239035,-0.01115012461245993,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.009505503393547205,-0.009277285465960582,0.31244357920936744,0.12604169441239035,0.012143708170970147,0.29757547805330054,0.10598351750396534,-0.005513886484827237,0.2782928654459873,0.08482598428775837,0.0056392239745567205,0.2862439437653789,0.26657516653043606,-0.0008853305847173849,0.23673650643301392,0.06051247688582898,-0.00849887577344067,0.20662282105224558,0.04456654443032776,-0.0011979608683805906,0.22895806487426273,0.0761537710106358,0.02750311968848108,0.0389519638940692,0.04386522419750682,0.06716450051963439,0.17639119923114777,0.06291932958127511,0.014508347417028434,-0.027180965685573266,-0.0421058251020739,-0.02522392629547219,-0.01583079259890913,-0.028754922218876256,-0.12911305420396227,-0.08200623693019318,-0.16899735564675933,-0.1282186244964402,0.011668394921929866,0.016788750795318805,-0.0026396442628732826,-0.03651250438620819,-0.007724961469720509,-0.040447288130270154,-0.14266991329177625,-0.07607845954037175,-0.17075074646289268,-0.15943181750060684,0.01039665784282184,0.015201732859405724,-0.012046696406029933,-0.029394980743849275,-0.0019394321858773036,-0.035617645742966636,-0.14301230495701045,-0.08798756880044166,-0.17471692896058885,-0.1598220693957997,0.008118978857748253,0.011079483325070005,-0.011223414493766546,-0.017902067971913405,0.00013490178239185997,-0.03168452624285795,-0.11991906623201765,-0.07566359674132248,-0.16921155800553184,-0.18119254941496607,-3.7801790284801127e-06,0.018173555569834257,-0.0192834549637545,-0.019152065732637415,0.0010186867641716962,-0.0430181604327357,-0.10793568697185406,-0.0789162221112772,-0.16369530272568736,-0.16665458486121773,0.0011827549618315693,0.016116352654861405,-0.015225654644021421,-0.021664490262586822,0.003880817252457736,-0.061331685135147765,-0.09913227511542588,-0.06229056343035143,-0.13982699350259384,-0.14606734903681218,0.01638990279914973,0.0029637082089886083,-0.009777923429811156,-0.016265852745909855,0.02608784562694643,-0.08217852399237328,-0.07744581765416837,-0.03458241737338729,-0.10026732453184545,-0.05438358358302583,-0.08494047231974003,-0.08753427377900627,-0.08865477612937697,-0.0792687690878676,-0.07850933709547651,-0.07174013998621223,-0.053677247584965594,0.32666339895196234
Z58_nomom_widegap_seed3,14882,0.00029541370503254836,0.01242690020121447,0.00383388716591702,7.258188678399726,0.4189519876152563,0.3725204801971821,0.2728110417351494,-0.011642047084568822,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,0.00901894655937965,0.006839962964265509,0.4189519876152563,0.2728110417351494,0.009724254506289604,0.4173916307397013,0.2693786972780742,-0.0033748955906349573,0.3920376814195815,0.2329515361140528,-0.005685964542185108,0.3725204801971821,0.20740897351091825,-0.0006081819001249241,0.354433596321303,0.19399494328754432,-0.003095739059911093,0.3378662902259039,0.17292440015015434,-0.0046523296855048545,0.32844962082264423,0.17299571950405412,0.027826670743525,0.04010227907449007,0.04489066321402778,0.06512049918621797,0.119300976395607,0.057230189272251764,0.03568472585215874,-0.020458079731951677,-0.019451049990842594,-0.08274952571154363,-0.00827867672469885,-0.0630898288074144,-0.05159565210739309,-0.11491704691443398,-0.10009606348944505,-0.14447598937070383,0.024884377186965033,-0.016701808283450366,-0.05099456688063307,-0.07765195181875659,-0.017973787948844806,-0.03895048985907992,-0.05455470053092372,-0.12043269622930948,-0.1320427541983251,-0.16309035131086036,0.011060161755716934,-0.011110530990086942,-0.047461755000797134,-0.0685855382082301,-0.014939714589026503,-0.04062271754604234,-0.057106400503093714,-0.11572592781348319,-0.11727101997323175,-0.16015026602473847,0.0038465926135164584,-0.0009502292888961416,-0.06360733171196843,-0.06610317296619098,-0.014161395069833204,-0.04646819699536907,-0.055162093975035104,-0.10582697640819345,-0.10851088439270827,-0.1598449623374653,0.009067857167852706,-0.00909239595542226,-0.051696767270020705,-0.05540161818579643,-0.00742189299302679,-0.0461679211506751,-0.0419279496139758,-0.08844661406263145,-0.10459299208910167,-0.15405183564881214,0.01375332221991996,-0.007680004920761202,-0.030626915825895683,-0.03344265255356897,-0.006721924390749857,-0.04945557889715328,-0.042742851883175025,-0.06661922975578757,-0.09187091614748258,-0.12754485760316242,0.004311142594258269,-0.015007913661351081,-0.025703508914293717,-0.02714118113558156,0.010545293132945194,-0.03733966720251809,-0.03680324651871582,-0.05761963714195699,-0.06396180839560903,-0.07241871251621446,-0.06759545360867708,-0.07279088575329659,-0.0691331560849755,-0.06602590936822782,-0.057711473981882165,-0.05148210021486967,-0.037035813225170945,0.44225997101380526
